"Period","Inward FPI - Bonds","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward FPI - Bonds to GDP","Mean_of_Ratio"
"Q3 2011",722470,13.4042302711612,6.42163329718335,581701.666666667,140768.333333333,65156.8399621212,484620.875,237849.125,167023.789772727,1785748,0.404575561613397,0.424167754099787
"Q4 2011",726734,14.852896553468,6.42163329718335,602094.916666667,124639.083333333,65156.8399621212,493762.34375,232971.65625,167023.789772727,1812700,0.400912451039885,0.424167754099787
"Q1 2012",779676,21.5874694150616,6.42163329718335,626301.083333333,153374.916666667,65156.8399621212,504094.65625,275581.34375,167023.789772727,1815120,0.429545154039402,0.424167754099787
"Q2 2012",811966,22.8436779000719,6.42163329718335,651246.583333333,160719.416666667,65156.8399621212,515721.90625,296244.09375,167023.789772727,1818984,0.446384355222476,0.424167754099787
"Q3 2012",829102,14.7593671709552,6.42163329718335,677204,151898,65156.8399621212,527925.1875,301176.8125,167023.789772727,1830636,0.452903799553816,0.424167754099787
"Q4 2012",854920,17.6386408231898,6.42163329718335,703648.75,151271.25,65156.8399621212,541082.25,313837.75,167023.789772727,1844064,0.463606469189789,0.424167754099787
"Q1 2013",879582,12.8137841872778,6.42163329718335,731393,148189,65156.8399621212,554986.03125,324595.96875,167023.789772727,1876844,0.468649498839541,0.424167754099787
"Q2 2013",863890,6.39484904540338,6.42163329718335,753365.75,110524.25,65156.8399621212,568041.5625,295848.4375,167023.789772727,1886592,0.457910348395414,0.424167754099787
"Q3 2013",868130,4.70726159145678,6.42163329718335,772620.333333333,95509.6666666666,65156.8399621212,581933.09375,286196.90625,167023.789772727,1912428,0.453941272560326,0.424167754099787
"Q4 2013",900739,5.35944883731811,6.42163329718335,794952.583333333,105786.416666667,65156.8399621212,597091.65625,303647.34375,167023.789772727,1933124,0.465949933889394,0.424167754099787
"Q1 2014",938801,6.73262981734506,6.42163329718335,819748.75,119052.25,65156.8399621212,613602.3125,325198.6875,167023.789772727,1963452,0.478137993696816,0.424167754099787
"Q2 2014",949731,9.93656599798585,6.42163329718335,843811.75,105919.25,65156.8399621212,630977.09375,318753.90625,167023.789772727,1988404,0.477634826725354,0.424167754099787
"Q3 2014",993323,14.4209968553097,6.42163329718335,866382.833333333,126940.166666667,65156.8399621212,649276.78125,344046.21875,167023.789772727,2013792,0.49325997918355,0.424167754099787
"Q4 2014",1019215,13.1531997615291,6.42163329718335,890756.25,128458.75,65156.8399621212,667562.15625,351652.84375,167023.789772727,2013944,0.506079116400456,0.424167754099787
"Q1 2015",1135963,21.0014688948989,6.42163329718335,920446.833333333,215516.166666667,65156.8399621212,689491.875,446471.125,167023.789772727,1984300,0.572475432142317,0.424167754099787
"Q2 2015",1116859,17.5974038964717,6.42163329718335,945854.583333333,171004.416666667,65156.8399621212,711799.5,405059.5,167023.789772727,1984920,0.562672047236161,0.424167754099787
"Q3 2015",1169864,17.7727687771249,6.42163329718335,974251.416666667,195612.583333333,65156.8399621212,736035.75,433828.25,167023.789772727,2000864,0.584679418491212,0.424167754099787
"Q4 2015",1196861,17.4296885348037,6.42163329718335,1002746.5,194114.5,65156.8399621212,760813.40625,436047.59375,167023.789772727,1991680,0.600930370340617,0.424167754099787
"Q1 2016",1190565,4.80667063980077,6.42163329718335,1028661.75,161903.25,65156.8399621212,784397,406168,167023.789772727,1998420,0.595753144984538,0.424167754099787
"Q2 2016",1232135,10.3214461270402,6.42163329718335,1059348.83333333,172786.166666667,65156.8399621212,808940.5,423194.5,167023.789772727,2002152,0.615405323871514,0.424167754099787
"Q3 2016",1290271,10.2923929619169,6.42163329718335,1094527.25,195743.75,65156.8399621212,835273.34375,454997.65625,167023.789772727,2035420,0.633908972104038,0.424167754099787
"Q4 2016",1264837,5.67952335317134,6.42163329718335,1124868.75,139968.25,65156.8399621212,859736.53125,405100.46875,167023.789772727,2066148,0.61217153853451,0.424167754099787
"Q1 2017",1278933,7.42235829207141,6.42163329718335,1153213.08333333,125719.916666667,65156.8399621212,884415.625,394517.375,167023.789772727,2107708,0.606788511501593,0.424167754099787
"Q2 2017",1302704,5.72737565283025,6.42163329718335,1182627.5,120076.5,65156.8399621212,909105.75,393598.25,167023.789772727,2130892,0.611342104620976,0.424167754099787
"Q3 2017",1314078,1.84511625852243,6.42163329718335,1209357.08333333,104720.916666667,65156.8399621212,933995.28125,380082.71875,167023.789772727,2143864,0.612948395980342,0.424167754099787
"Q4 2017",1371012,8.39436227751086,6.42163329718335,1238673.5,132338.5,65156.8399621212,960039.9375,410972.0625,167023.789772727,2181964,0.628338506043179,0.424167754099787
"Q1 2018",1386408,8.40348947130147,6.42163329718335,1259543.91666667,126864.083333333,65156.8399621212,986282.34375,400125.65625,167023.789772727,2202260,0.629538746560352,0.424167754099787
"Q2 2018",1408508,8.12187572925239,6.42163329718335,1283848,124660,65156.8399621212,1011541.4375,396966.5625,167023.789772727,2219616,0.634572827011519,0.424167754099787
"Q3 2018",1389641,5.7502674879269,6.42163329718335,1302162.75,87478.25,65156.8399621212,1035059.125,354581.875,167023.789772727,2244092,0.619244219933942,0.424167754099787
"Q4 2018",1412599,3.03330678360219,6.42163329718335,1320140.91666667,92458.0833333333,65156.8399621212,1059429.34375,353169.65625,167023.789772727,2229456,0.63360703238817,0.424167754099787
"Q1 2019",1446495,4.33400557411671,6.42163329718335,1341468.41666667,105026.583333333,65156.8399621212,1084593.34375,361901.65625,167023.789772727,2260360,0.639940098037481,0.424167754099787
"Q2 2019",1458999,3.58471517378673,6.42163329718335,1360373.75,98625.25,65156.8399621212,1109531.59375,349467.40625,167023.789772727,2305088,0.632947202015715,0.424167754099787
"Q3 2019",1472355,5.95218477290178,6.42163329718335,1375547.41666667,96807.5833333333,65156.8399621212,1132965.5,339389.5,167023.789772727,2312284,0.636753530275693,0.424167754099787
"Q4 2019",1456331,3.09585381272392,6.42163329718335,1391505.25,64825.75,65156.8399621212,1155765.40625,300565.59375,167023.789772727,2337684,0.622980265938424,0.424167754099787
