"Period","Interest Expense All Industries","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Interest Expense All Industries to GDP","Mean_of_Ratio"
"Q4 1998",11918,6.3632307005801,4.05029976480214,11197.8333333333,720.166666666666,859.338541666667,11176.28125,741.71875,2003.72916666667,953496,0.0124992658595317,0.0113862780033817
"Q1 1999",11941,2.07727816720807,4.05029976480214,11314.6666666667,626.333333333334,859.338541666667,11158.03125,782.96875,2003.72916666667,975240,0.0122441655387392,0.0113862780033817
"Q2 1999",11826,-0.177260065839453,4.05029976480214,11411.1666666667,414.833333333334,859.338541666667,11138.09375,687.90625,2003.72916666667,994172,0.0118953259596931,0.0113862780033817
"Q3 1999",11814,-1.48432288192128,4.05029976480214,11502.75,311.25,859.338541666667,11125.84375,688.15625,2003.72916666667,1021308,0.0115675192987816,0.0113862780033817
"Q4 1999",12147,1.92146333277396,4.05029976480214,11606.6666666667,540.333333333334,859.338541666667,11125,1022,2003.72916666667,1040988,0.011668722406022,0.0113862780033817
"Q1 2000",13379,12.0425425006281,4.05029976480214,11815.8333333333,1563.16666666667,859.338541666667,11193.875,2185.125,2003.72916666667,1070188,0.0125015417851817,0.0113862780033817
"Q2 2000",13931,17.7997632335532,4.05029976480214,12063.1666666667,1867.83333333333,859.338541666667,11282.875,2648.125,2003.72916666667,1099448,0.0126709039445249,0.0113862780033817
"Q3 2000",14179,20.0186219739292,4.05029976480214,12323.0833333333,1855.91666666667,859.338541666667,11380.21875,2798.78125,2003.72916666667,1121768,0.012639868493307,0.0113862780033817
"Q4 2000",14577,20.0049394912324,4.05029976480214,12604.0833333333,1972.91666666667,859.338541666667,11482.8125,3094.1875,2003.72916666667,1132880,0.0128672057058117,0.0113862780033817
"Q1 2001",15057,12.542043501009,4.05029976480214,12884,2173,859.338541666667,11616.96875,3440.03125,2003.72916666667,1149924,0.0130939088148434,0.0113862780033817
"Q2 2001",15361,10.2648768932596,4.05029976480214,13176.8333333333,2184.16666666667,859.338541666667,11766.6875,3594.3125,2003.72916666667,1152860,0.0133242544628142,0.0113862780033817
"Q3 2001",15457,9.01332957190211,4.05029976480214,13465.5833333333,1991.41666666667,859.338541666667,11918.03125,3538.96875,2003.72916666667,1138804,0.0135730116859442,0.0113862780033817
"Q4 2001",15168,4.05433216711257,4.05029976480214,13736.4166666667,1431.58333333333,859.338541666667,12056.53125,3111.46875,2003.72916666667,1136584,0.013345252088715,0.0113862780033817
