"Period","Fed Gov Interest Expense","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Revenue","Ratio: Fed Gov Interest Expense to Revenue","Mean_of_Ratio"
"Q2 2012",7227,-5.78803285099726,-2.27635497917352,7062.5,164.5,-314.643939393939,7593.25,-366.25,-849.249289772727,62984,0.11474342690207,0.138769588298382
"Q3 2012",6385,-8.6944086944087,-2.27635497917352,7016.58333333333,-631.583333333333,-314.643939393939,7528.3125,-1143.3125,-849.249289772727,61275,0.104202366381069,0.138769588298382
"Q4 2012",6933,-2.51687289088864,-2.27635497917352,7036.25,-103.25,-314.643939393939,7490.96875,-557.96875,-849.249289772727,63266,0.109584927133057,0.138769588298382
"Q1 2013",6732,-0.443655723158829,-2.27635497917352,7029.08333333333,-297.083333333333,-314.643939393939,7448.9375,-716.9375,-849.249289772727,65690,0.102481351803928,0.138769588298382
"Q2 2013",7135,-1.27300401273004,-2.27635497917352,7031.25,103.75,-314.643939393939,7417.71875,-282.71875,-849.249289772727,64182,0.1111682403166,0.138769588298382
"Q3 2013",6904,8.12842599843383,-2.27635497917352,7011,-107,-314.643939393939,7378.5,-474.5,-849.249289772727,65525,0.10536436474628,0.138769588298382
"Q4 2013",6488,-6.41857781624117,-2.27635497917352,6951.83333333333,-463.833333333333,-314.643939393939,7328.21875,-840.21875,-849.249289772727,66270,0.0979025199939641,0.138769588298382
"Q1 2014",5663,-15.8793820558526,-2.27635497917352,6833.75,-1170.75,-314.643939393939,7252.0625,-1589.0625,-849.249289772727,73421,0.077130521240517,0.138769588298382
"Q2 2014",7226,1.27540294323756,-2.27635497917352,6796.66666666667,429.333333333333,-314.643939393939,7221.3125,4.6875,-849.249289772727,67052,0.107767106126588,0.138769588298382
"Q3 2014",6198,-10.225955967555,-2.27635497917352,6730.41666666667,-532.416666666667,-314.643939393939,7158.1875,-960.1875,-849.249289772727,67601,0.0916850342450555,0.138769588298382
"Q4 2014",6095,-6.05733662145499,-2.27635497917352,6645.66666666667,-550.666666666667,-314.643939393939,7098.625,-1003.625,-849.249289772727,67155,0.0907601816692726,0.138769588298382
"Q1 2015",5216,-7.89334275119195,-2.27635497917352,6516.83333333333,-1300.83333333333,-314.643939393939,7009.34375,-1793.34375,-849.249289772727,73710,0.0707638040971374,0.138769588298382
"Q2 2015",6469,-10.4760586769997,-2.27635497917352,6453.66666666667,15.333333333333,-314.643939393939,6955.65625,-486.65625,-849.249289772727,72196,0.0896033021220012,0.138769588298382
"Q3 2015",6536,5.45337205550177,-2.27635497917352,6466.25,69.75,-314.643939393939,6908.46875,-372.46875,-849.249289772727,69939,0.093452866069003,0.138769588298382
"Q4 2015",5560,-8.77768662838392,-2.27635497917352,6351.83333333333,-791.833333333333,-314.643939393939,6843.90625,-1283.90625,-849.249289772727,71676,0.0775712930409063,0.138769588298382
"Q1 2016",5333,2.2430981595092,-2.27635497917352,6235.25,-902.25,-314.643939393939,6768.0625,-1435.0625,-849.249289772727,77688,0.0686463803933683,0.138769588298382
"Q2 2016",6017,-6.98716957798732,-2.27635497917352,6142.08333333333,-125.083333333333,-314.643939393939,6710.0625,-693.0625,-849.249289772727,72730,0.082730647600715,0.138769588298382
"Q3 2016",5587,-14.5195838433293,-2.27635497917352,6032.33333333333,-445.333333333333,-314.643939393939,6637.21875,-1050.21875,-849.249289772727,70341,0.0794273609985641,0.138769588298382
"Q4 2016",5493,-1.20503597122302,-2.27635497917352,5949.41666666667,-456.416666666667,-314.643939393939,6587.1875,-1094.1875,-849.249289772727,72427,0.0758418821710136,0.138769588298382
"Q1 2017",5466,2.49390586911682,-2.27635497917352,5933,-467,-314.643939393939,6543.5625,-1077.5625,-849.249289772727,79681,0.0685985366649515,0.138769588298382
"Q2 2017",5674,-5.70051520691374,-2.27635497917352,5803.66666666667,-129.666666666667,-314.643939393939,6495.625,-821.625,-849.249289772727,80819,0.070206263378661,0.138769588298382
"Q3 2017",5172,-7.42795775908359,-2.27635497917352,5718.16666666667,-546.166666666667,-314.643939393939,6440.5,-1268.5,-849.249289772727,76363,0.0677291358380367,0.138769588298382
"Q4 2017",5562,1.25614418350628,-2.27635497917352,5673.75,-111.75,-314.643939393939,6405.03125,-843.03125,-849.249289772727,77681,0.0716005200756942,0.138769588298382
"Q1 2018",5976,9.33040614709111,-2.27635497917352,5737.08333333333,238.916666666667,-314.643939393939,6378.71875,-402.71875,-849.249289772727,86807,0.0688423744628889,0.138769588298382
"Q2 2018",6350,11.9139936552697,-2.27635497917352,5727.16666666667,622.833333333333,-314.643939393939,6355,-5,-849.249289772727,81512,0.0779026401020709,0.138769588298382
"Q3 2018",6153,18.9675174013921,-2.27635497917352,5695.25,457.75,-314.643939393939,6323.9375,-170.9375,-849.249289772727,81623,0.07538316405915,0.138769588298382
"Q4 2018",5721,2.85868392664509,-2.27635497917352,5708.66666666667,12.333333333333,-314.643939393939,6277.78125,-556.78125,-849.249289772727,82604,0.0692581473052152,0.138769588298382
"Q1 2019",6009,0.552208835341365,-2.27635497917352,5765,244,-314.643939393939,6244.3125,-235.3125,-849.249289772727,90242,0.0665876199552315,0.138769588298382
"Q2 2019",7009,10.3779527559055,-2.27635497917352,5847.66666666667,1161.33333333333,-314.643939393939,6223.625,785.375,-849.249289772727,85357,0.0821139449605773,0.138769588298382
"Q3 2019",6362,3.39671704859418,-2.27635497917352,5912.25,449.75,-314.643939393939,6203.90625,158.09375,-849.249289772727,83629,0.0760740891317605,0.138769588298382
"Q4 2019",5829,1.88778185631883,-2.27635497917352,5940.25,-111.25,-314.643939393939,6163.8125,-334.8125,-849.249289772727,84524,0.0689626614925938,0.138769588298382
