"Period","Outward Cross-Border Loans","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward Cross-Border Loans to GDP","Mean_of_Ratio"
"Q4 2008",93352,21.5584145007552,9.25296465052967,76954.3333333333,16397.6666666667,16670.2196969697,63399.78125,29952.21875,40726.3852982955,1618908,0.0576635608694256,0.0720828224872548
"Q1 2009",93354,8.59156895589056,9.25296465052967,79656.9166666667,13697.0833333333,16670.2196969697,64711.90625,28642.09375,40726.3852982955,1557232,0.059948678167415,0.0720828224872548
"Q2 2009",95013,8.7789799072643,9.25296465052967,82219,12794,16670.2196969697,66028.21875,28984.78125,40726.3852982955,1548488,0.0613585639669148,0.0720828224872548
"Q3 2009",96497,18.1866059180874,9.25296465052967,84362.5833333333,12134.4166666667,16670.2196969697,67317.6875,29179.3125,40726.3852982955,1567924,0.0615444371028188,0.0720828224872548
"Q4 2009",99433,6.51405433199074,9.25296465052967,86658.1666666667,12774.8333333333,16670.2196969697,68530.5625,30902.4375,40726.3852982955,1611692,0.0616947903197385,0.0720828224872548
"Q1 2010",111906,19.8727424641686,9.25296465052967,89463.3333333333,22442.6666666667,16670.2196969697,70134.03125,41771.96875,40726.3852982955,1644032,0.0680680181407661,0.0720828224872548
"Q2 2010",108849,14.5622178017745,9.25296465052967,92374.5,16474.5,16670.2196969697,71763.0625,37085.9375,40726.3852982955,1653240,0.0658398054728896,0.0720828224872548
"Q3 2010",105807,9.64796833062168,9.25296465052967,94664,11143,16670.2196969697,73258.5625,32548.4375,40726.3852982955,1665372,0.0635335528638647,0.0720828224872548
"Q4 2010",109303,9.926282019048,9.25296465052967,97372.9166666667,11930.0833333333,16670.2196969697,74677.125,34625.875,40726.3852982955,1701548,0.0642373885426682,0.0720828224872548
"Q1 2011",108146,-3.3599628259432,9.25296465052967,99221.0833333333,8924.91666666667,16670.2196969697,76007,32139,40726.3852982955,1737952,0.0622261144151277,0.0720828224872548
"Q2 2011",113586,4.35190033900174,9.25296465052967,101407.833333333,12178.1666666667,16670.2196969697,77751.28125,35834.71875,40726.3852982955,1759852,0.0645429274734466,0.0720828224872548
"Q3 2011",119901,13.320479741416,9.25296465052967,104595.583333333,15305.4166666667,16670.2196969697,79889.6875,40011.3125,40726.3852982955,1785748,0.0671432923346407,0.0720828224872548
"Q4 2011",121640,11.2869729101671,9.25296465052967,106952.916666667,14687.0833333333,16670.2196969697,82135.6875,39504.3125,40726.3852982955,1812700,0.0671043195233629,0.0720828224872548
"Q1 2012",125501,16.0477502635326,9.25296465052967,109631.833333333,15869.1666666667,16670.2196969697,84241.75,41259.25,40726.3852982955,1815120,0.0691419851029133,0.0720828224872548
"Q2 2012",133118,17.1957811702146,9.25296465052967,112807.25,20310.75,16670.2196969697,86441.4375,46676.5625,40726.3852982955,1818984,0.0731826118316599,0.0720828224872548
