"Period","Public NFCs Debt Securities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Public NFCs Debt Securities to GDP","Mean_of_Ratio"
"Q1 2003",4103.4,67.6088554856629,12.7902820845302,2515.31666666667,1588.08333333333,699.244696969697,1792.30625,2311.09375,1770.32425426136,1250088,0.00328248891278054,0.00424358207152447
"Q2 2003",4100.2,58.547619968292,12.7902820845302,2684.94166666667,1415.25833333333,699.244696969697,1895.575,2204.625,1770.32425426136,1237720,0.00331270400413664,0.00424358207152447
"Q3 2003",3716.6,45.6519183289572,12.7902820845302,2836.75,879.85,699.244696969697,1982.346875,1734.253125,1770.32425426136,1258296,0.00295367703624584,0.00424358207152447
"Q4 2003",3963,40.7165429819266,12.7902820845302,2981.38333333333,981.616666666667,699.244696969697,2073.978125,1889.021875,1770.32425426136,1272884,0.00311340232102847,0.00424358207152447
"Q1 2004",4111.9,0.207145294146318,12.7902820845302,3142.125,969.775,699.244696969697,2178.584375,1933.315625,1770.32425426136,1296216,0.00317223364007233,0.00424358207152447
"Q2 2004",3846.9,-6.17774742695478,12.7902820845302,3241.75833333333,605.141666666667,699.244696969697,2273.6625,1573.2375,1770.32425426136,1328148,0.00289643925225201,0.00424358207152447
"Q3 2004",4063.1,9.32303718452349,12.7902820845302,3385.80833333333,677.291666666667,699.244696969697,2373.559375,1689.540625,1770.32425426136,1351480,0.00300640778997839,0.00424358207152447
"Q4 2004",3795.3,-4.23164269492808,12.7902820845302,3508.55833333333,286.741666666667,699.244696969697,2457.64375,1337.65625,1770.32425426136,1367080,0.00277620914650203,0.00424358207152447
"Q1 2005",3926.1,-4.51859237821931,12.7902820845302,3631.71666666667,294.383333333333,699.244696969697,2545.03125,1381.06875,1770.32425426136,1380324,0.00284433220026602,0.00424358207152447
"Q2 2005",3880.4,0.870831058774598,12.7902820845302,3739.575,140.825,699.244696969697,2628.33125,1252.06875,1770.32425426136,1399608,0.00277249058307755,0.00424358207152447
"Q3 2005",4078.4,0.376559769634028,12.7902820845302,3866.8,211.6,699.244696969697,2712.8125,1365.5875,1770.32425426136,1436992,0.00283815080390148,0.00424358207152447
"Q4 2005",4565.8,20.3014254472637,12.7902820845302,4012.59166666667,553.208333333333,699.244696969697,2811.51875,1754.28125,1770.32425426136,1469436,0.00310717853652694,0.00424358207152447
"Q1 2006",4643,18.2598507424671,12.7902820845302,4057.55833333333,585.441666666667,699.244696969697,2901.103125,1741.896875,1770.32425426136,1476000,0.00314566395663957,0.00424358207152447
"Q2 2006",4723.2,21.7194103700649,12.7902820845302,4109.475,613.724999999999,699.244696969697,2995.796875,1727.403125,1770.32425426136,1490716,0.00316841034777919,0.00424358207152447
