"Period","TSX 243 Net Income","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Common Equity","Ratio: TSX 243 Net Income to Common Equity","Mean_of_Ratio"
"Q2 2009",56953730,-26.2731260037266,20.3661305141964,73773600.8333333,-16819870.8333333,7295855.81570513,51250745.625,5702984.375,15629002.3737981,587496700,0.0969430636801875,0.115057566971936
"Q3 2009",51896100,-32.3901902909707,20.3661305141964,72228158.3333333,-20332058.3333333,7295855.81570513,51781579.6875,114520.3125,15629002.3737981,588963800,0.0881142440333345,0.115057566971936
"Q4 2009",37519780,-51.6935239973998,20.3661305141964,68901477.5,-31381697.5,7295855.81570513,51885671.875,-14365891.875,15629002.3737981,605082400,0.0620077199402924,0.115057566971936
"Q1 2010",53587150,-14.7888961116609,20.3661305141964,66903077.5,-13315927.5,7295855.81570513,52678913.4375,908236.5625,15629002.3737981,620412700,0.0863733930656158,0.115057566971936
"Q2 2010",63579460,11.6335312893466,20.3661305141964,65877641.6666667,-2298181.66666666,7295855.81570513,53857794.6875,9721665.3125,15629002.3737981,634420200,0.100216638751414,0.115057566971936
"Q3 2010",64030800,23.3826819356368,20.3661305141964,65110892.5,-1080092.5,7295855.81570513,55092167.1875,8938632.8125,15629002.3737981,649258000,0.0986215033160931,0.115057566971936
"Q4 2010",72464780,93.1375397190495,20.3661305141964,64620793.3333333,7843986.66666666,7295855.81570513,56579238.125,15885541.875,15629002.3737981,673877500,0.107534054779986,0.115057566971936
"Q1 2011",77604430,44.819103087214,20.3661305141964,64350158.3333333,13254271.6666667,7295855.81570513,58466100.9375,19138329.0625,15629002.3737981,686173200,0.113097436623873,0.115057566971936
"Q2 2011",78938820,24.1577389930647,20.3661305141964,64490925,14447895,7295855.81570513,60308985.9375,18629834.0625,15629002.3737981,682763000,0.115616722054359,0.115057566971936
"Q3 2011",92143570,43.9050738082298,20.3661305141964,65773035.8333333,26370534.1666667,7295855.81570513,62497717.5,29645852.5,15629002.3737981,701839400,0.131288682282585,0.115057566971936
"Q4 2011",94238130,30.046803426437,20.3661305141964,67153689.1666667,27084440.8333333,7295855.81570513,64365507.1875,29872622.8125,15629002.3737981,733068500,0.128552966059788,0.115057566971936
"Q1 2012",84918460,9.42475835464548,20.3661305141964,68989600.8333333,15928859.1666667,7295855.81570513,65797157.5,19121302.5,15629002.3737981,735346400,0.115480894446481,0.115057566971936
"Q2 2012",90099300,14.1381388776777,20.3661305141964,71751731.6666667,18347568.3333333,7295855.81570513,67376846.25,22722453.75,15629002.3737981,736119300,0.122397687440066,0.115057566971936
