"Period","Outward FPI - Equity","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward FPI - Equity to GDP","Mean_of_Ratio"
"Q4 2015",1282191,18.2476319412871,12.0494346429312,1013520.08333333,268670.916666667,100585.096590909,725939.09375,556251.90625,240097.857599432,1991680,0.64377359816838,0.411330563239552
"Q1 2016",1178900,-0.631494480744981,12.0494346429312,1047725,131175,100585.096590909,744984.5625,433915.4375,240097.857599432,1998420,0.589916033666597,0.411330563239552
"Q2 2016",1193269,0.245390423640818,12.0494346429312,1080941.83333333,112327.166666667,100585.096590909,765057.53125,428211.46875,240097.857599432,2002152,0.595993211304636,0.411330563239552
"Q3 2016",1276193,10.5383599315736,12.0494346429312,1118096.33333333,158096.666666667,100585.096590909,789515.96875,486677.03125,240097.857599432,2035420,0.626992463471912,0.411330563239552
"Q4 2016",1359884,6.05939364728032,12.0494346429312,1155459.91666667,204424.083333333,100585.096590909,818347.28125,541536.71875,240097.857599432,2066148,0.658173567430794,0.411330563239552
"Q1 2017",1455540,23.4659428280601,12.0494346429312,1196418.75,259121.25,100585.096590909,851078.375,604461.625,240097.857599432,2107708,0.69057952999182,0.411330563239552
"Q2 2017",1483203,24.2974551421348,12.0494346429312,1238609.33333333,244593.666666667,100585.096590909,883249.03125,599953.96875,240097.857599432,2130892,0.696047946118339,0.411330563239552
"Q3 2017",1490113,16.7623549102683,12.0494346429312,1277907.08333333,212205.916666667,100585.096590909,914425.625,575687.375,240097.857599432,2143864,0.695059481385013,0.411330563239552
"Q4 2017",1672638,22.9985792905866,12.0494346429312,1326933,345705,100585.096590909,950992.40625,721645.59375,240097.857599432,2181964,0.766574517269762,0.411330563239552
"Q1 2018",1696239,16.5367492477019,12.0494346429312,1369420.25,326818.75,100585.096590909,987913.375,708325.625,240097.857599432,2202260,0.770226494601001,0.411330563239552
"Q2 2018",1726213,16.3841362241042,12.0494346429312,1414075.66666667,312137.333333333,100585.096590909,1026692.65625,699520.34375,240097.857599432,2219616,0.777707945878927,0.411330563239552
"Q3 2018",1775354,19.1422395482759,12.0494346429312,1465811.41666667,309542.583333333,100585.096590909,1065130.5,710223.5,240097.857599432,2244092,0.791123536824693,0.411330563239552
"Q4 2018",1638092,-2.06536022737735,12.0494346429312,1495469.83333333,142622.166666667,100585.096590909,1098282.46875,539809.53125,240097.857599432,2229456,0.734749642962229,0.411330563239552
"Q1 2019",1774344,4.60459876232064,12.0494346429312,1545090.16666667,229253.833333333,100585.096590909,1135092.09375,639251.90625,240097.857599432,2260360,0.784982923074201,0.411330563239552
"Q2 2019",1796749,4.08617013080078,12.0494346429312,1595380.16666667,201368.833333333,100585.096590909,1172269.625,624479.375,240097.857599432,2305088,0.779470892217564,0.411330563239552
"Q3 2019",1813998,2.17669264833943,12.0494346429312,1640197.25,173800.75,100585.096590909,1211456.625,602541.375,240097.857599432,2312284,0.784504844560616,0.411330563239552
"Q4 2019",1980019,20.873491842949,12.0494346429312,1691875.16666667,288143.833333333,100585.096590909,1254767.28125,725251.71875,240097.857599432,2337684,0.847000278908527,0.411330563239552
