"Period","Total Gross External Debt","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Total Gross External Debt to GDP","Mean_of_Ratio"
"Q3 2013",1572261,7.11545497094669,6.42219232453062,1409499.58333333,162761.416666667,119033.269886364,1159992.75,412268.25,303001.928267045,1912428,0.822128205610878,0.795509240361778
"Q4 2013",1643198,6.62687620897907,6.42219232453062,1444180.25,199017.75,119033.269886364,1185779.59375,457418.40625,303001.928267045,1933124,0.85002203686882,0.795509240361778
"Q1 2014",1717208,9.46534219234371,6.42219232453062,1484754.41666667,232453.583333333,119033.269886364,1213289.28125,503918.71875,303001.928267045,1963452,0.874586187999503,0.795509240361778
"Q2 2014",1710912,8.92020213980955,6.42219232453062,1522514,188398,119033.269886364,1240207.1875,470704.8125,303001.928267045,1988404,0.860444859294188,0.795509240361778
"Q3 2014",1753218,11.5093486386802,6.42219232453062,1557200.25,196017.75,119033.269886364,1267776.5625,485441.4375,303001.928267045,2013792,0.870605305811126,0.795509240361778
"Q4 2014",1873918,14.0409129027664,6.42219232453062,1601241.08333333,272676.916666667,119033.269886364,1298421.15625,575496.84375,303001.928267045,2013944,0.93047175095236,0.795509240361778
"Q1 2015",2017290,17.4749942930618,6.42219232453062,1654487.83333333,362802.166666667,119033.269886364,1332358.53125,684931.46875,303001.928267045,1984300,1.01662551025551,0.795509240361778
"Q2 2015",2036227,19.0141281375079,6.42219232453062,1706053.41666667,330173.583333333,119033.269886364,1367643.90625,668583.09375,303001.928267045,1984920,1.02584839691272,0.795509240361778
"Q3 2015",2135687,21.8152562887217,6.42219232453062,1761709.08333333,373977.916666667,119033.269886364,1406826.6875,728860.3125,303001.928267045,2000864,1.06738239080717,0.795509240361778
"Q4 2015",2227858,18.8876994617694,6.42219232453062,1818941.16666667,408916.833333333,119033.269886364,1448217.40625,779640.59375,303001.928267045,1991680,1.11858230237789,0.795509240361778
"Q1 2016",2164919,7.31818429675456,6.42219232453062,1868624.16666667,296294.833333333,119033.269886364,1485213.0625,679705.9375,303001.928267045,1998420,1.08331531910209,0.795509240361778
"Q2 2016",2240817,10.0475045267546,6.42219232453062,1924459.41666667,316357.583333333,119033.269886364,1524210.65625,716606.34375,303001.928267045,2002152,1.1192042362418,0.795509240361778
"Q3 2016",2323492,8.79365749756402,6.42219232453062,1987062,336430,119033.269886364,1565070.5625,758421.4375,303001.928267045,2035420,1.14152951233652,0.795509240361778
"Q4 2016",2349568,5.46309504465725,6.42219232453062,2045926.16666667,303641.833333333,119033.269886364,1603450.84375,746117.15625,303001.928267045,2066148,1.13717313570954,0.795509240361778
"Q1 2017",2350234,8.55990455070143,6.42219232453062,2098678.33333333,251555.666666667,119033.269886364,1640488.5,709745.5,303001.928267045,2107708,1.11506622359454,0.795509240361778
"Q2 2017",2359326,5.28865141597908,6.42219232453062,2152712.83333333,206613.166666667,119033.269886364,1678526.6875,680799.3125,303001.928267045,2130892,1.10720111577687,0.795509240361778
"Q3 2017",2319656,-0.165096329145958,6.42219232453062,2199916,119740,119033.269886364,1715394.0625,604261.9375,303001.928267045,2143864,1.08199773866253,0.795509240361778
"Q4 2017",2414987,2.7842990711484,6.42219232453062,2245005.08333333,169981.916666667,119033.269886364,1754893.84375,660093.15625,303001.928267045,2181964,1.10679507086276,0.795509240361778
"Q1 2018",2433254,3.53241421917988,6.42219232453062,2279668.75,153585.25,119033.269886364,1794494.96875,638759.03125,303001.928267045,2202260,1.10488952258135,0.795509240361778
"Q2 2018",2445736,3.66248665932559,6.42219232453062,2313794.5,131941.5,119033.269886364,1833068.5625,612667.4375,303001.928267045,2219616,1.10187347721408,0.795509240361778
"Q3 2018",2452351,5.72046027514425,6.42219232453062,2340183.16666667,112167.833333333,119033.269886364,1871370.34375,580980.65625,303001.928267045,2244092,1.09280323623096,0.795509240361778
"Q4 2018",2587643,7.1493552553285,6.42219232453062,2370165.25,217477.75,119033.269886364,1913889.5,673753.5,303001.928267045,2229456,1.16066116577318,0.795509240361778
"Q1 2019",2571997,5.701953022578,6.42219232453062,2404088.41666667,167908.583333333,119033.269886364,1955816.96875,616180.03125,303001.928267045,2260360,1.13787051620096,0.795509240361778
"Q2 2019",2644240,8.11632980828675,6.42219232453062,2437707,206533,119033.269886364,1999143.3125,645096.6875,303001.928267045,2305088,1.14713190993142,0.795509240361778
"Q3 2019",2700360,10.1131118669391,6.42219232453062,2469112.66666667,231247.333333333,119033.269886364,2041748.84375,658611.15625,303001.928267045,2312284,1.16783232509501,0.795509240361778
"Q4 2019",2752969,6.38905753227938,6.42219232453062,2502729.41666667,250239.583333333,119033.269886364,2085734.5,667234.5,303001.928267045,2337684,1.1776480482392,0.795509240361778
