"Period","Inward FDI","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward FDI to GDP","Mean_of_Ratio"
"Q3 1998",368142,-11.5991028848878,6.50649996321927,369959.75,-1817.75,60766.3541666667,280990.28125,87151.71875,171813.219105114,938872,0.392110958682334,0.537485456744167
"Q4 1998",417781,2.51464298596678,6.50649996321927,380976.5,36804.5,60766.3541666667,288433.375,129347.625,171813.219105114,953496,0.438157055719164,0.537485456744167
"Q1 1999",437842,2.96955657726091,6.50649996321927,391368,46474,60766.3541666667,295684.03125,142157.96875,171813.219105114,975240,0.448958205159756,0.537485456744167
"Q2 1999",476882,3.74307120667601,6.50649996321927,404150.083333333,72731.9166666667,60766.3541666667,304278.65625,172603.34375,171813.219105114,994172,0.479677560824485,0.537485456744167
"Q3 1999",494478,34.3171928223349,6.50649996321927,418272.416666667,76205.5833333333,60766.3541666667,313155.5,181322.5,171813.219105114,1021308,0.484161487034274,0.537485456744167
"Q4 1999",454526,8.79527790876081,6.50649996321927,426406.5,28119.5,60766.3541666667,320834.59375,133691.40625,171813.219105114,1040988,0.436629432808063,0.537485456744167
"Q1 2000",460541,5.18429022341393,6.50649996321927,435010.416666667,25530.5833333333,60766.3541666667,328792,131749,171813.219105114,1070188,0.430336539000624,0.537485456744167
"Q2 2000",563838,18.234280178325,6.50649996321927,448575,115263,60766.3541666667,339995.90625,223842.09375,171813.219105114,1099448,0.512837351107101,0.537485456744167
"Q3 2000",537551,8.71080209837445,6.50649996321927,458667.083333333,78883.9166666667,60766.3541666667,350359.40625,187191.59375,171813.219105114,1121768,0.479199798888897,0.537485456744167
"Q4 2000",520673,14.5529628668107,6.50649996321927,468095.416666667,52577.5833333333,60766.3541666667,359883,160790,171813.219105114,1132880,0.459601193418544,0.537485456744167
"Q1 2001",490205,6.44112033456305,6.50649996321927,473511.25,16693.75,60766.3541666667,368433.15625,121771.84375,171813.219105114,1149924,0.426293389824023,0.537485456744167
"Q2 2001",515506,-8.57196570646179,6.50649996321927,478163.75,37342.25,60766.3541666667,377590.53125,137915.46875,171813.219105114,1152860,0.447154034314661,0.537485456744167
"Q3 2001",482413,-10.2572593112095,6.50649996321927,487686.333333333,-5273.33333333331,60766.3541666667,385515.5,96897.5,171813.219105114,1138804,0.423613721061745,0.537485456744167
"Q4 2001",538264,3.37851204114675,6.50649996321927,497726.583333333,40537.4166666667,60766.3541666667,394561.5625,143702.4375,171813.219105114,1136584,0.473580483272684,0.537485456744167
"Q1 2002",565658,15.3921318632001,6.50649996321927,508377.916666667,57280.0833333333,60766.3541666667,404475,161183,171813.219105114,1158640,0.488208589380653,0.537485456744167
"Q2 2002",544596,5.6429993055367,6.50649996321927,514020.75,30575.25,60766.3541666667,414138.28125,130457.71875,171813.219105114,1185892,0.459229002303751,0.537485456744167
"Q3 2002",503307,4.33114364662644,6.50649996321927,514756.5,-11449.5,60766.3541666667,421972.6875,81334.3125,171813.219105114,1204144,0.41797907891415,0.537485456744167
"Q4 2002",494977,-8.0419645378476,6.50649996321927,518127.416666667,-23150.4166666667,60766.3541666667,429444.71875,65532.28125,171813.219105114,1226100,0.403700350705489,0.537485456744167
"Q1 2003",478782,-15.3583967697796,6.50649996321927,519647.5,-40865.5,60766.3541666667,436294.875,42487.125,171813.219105114,1250088,0.382998636895963,0.537485456744167
"Q2 2003",536275,-1.52792161528913,6.50649996321927,517350.583333333,18924.4166666667,60766.3541666667,444564.9375,91710.0625,171813.219105114,1237720,0.433276508418705,0.537485456744167
"Q3 2003",559668,11.198135531594,6.50649996321927,519193.666666667,40474.3333333333,60766.3541666667,453540,106128,171813.219105114,1258296,0.444782467718248,0.537485456744167
"Q4 2003",603072,21.8383884503724,6.50649996321927,526060.25,77011.75,60766.3541666667,463461.625,139610.375,171813.219105114,1272884,0.473783942605925,0.537485456744167
"Q1 2004",631333,31.8623089422744,6.50649996321927,537820.916666667,93512.0833333334,60766.3541666667,473405.03125,157927.96875,171813.219105114,1296216,0.487058484079814,0.537485456744167
"Q2 2004",629998,17.476667754417,6.50649996321927,547361.916666667,82636.0833333334,60766.3541666667,482983.1875,147014.8125,171813.219105114,1328148,0.474343220785635,0.537485456744167
"Q3 2004",662056,18.2944174046042,6.50649996321927,562332.166666667,99723.8333333334,60766.3541666667,493515.875,168540.125,171813.219105114,1351480,0.489874803918667,0.537485456744167
"Q4 2004",690067,14.4253090841558,6.50649996321927,574982.416666667,115084.583333333,60766.3541666667,503926.8125,186140.1875,171813.219105114,1367080,0.504774409690728,0.537485456744167
"Q1 2005",707761,12.1058142058153,6.50649996321927,586824.333333333,120936.666666667,60766.3541666667,514878.90625,192882.09375,171813.219105114,1380324,0.512749905094746,0.537485456744167
"Q2 2005",721814,14.574014520681,6.50649996321927,601592.5,120221.5,60766.3541666667,524902.375,196911.625,171813.219105114,1399608,0.515725831804334,0.537485456744167
"Q3 2005",783504,18.3440675713233,6.50649996321927,624942.25,158561.75,60766.3541666667,536372.9375,247131.0625,171813.219105114,1436992,0.545238943571015,0.537485456744167
"Q4 2005",778207,12.7726727984384,6.50649996321927,648544.75,129662.25,60766.3541666667,547956.5,230250.5,171813.219105114,1469436,0.529595708829782,0.537485456744167
"Q1 2006",838392,18.4569367342931,6.50649996321927,678512.25,159879.75,60766.3541666667,560868.28125,277523.71875,171813.219105114,1476000,0.568016260162602,0.537485456744167
"Q2 2006",830643,15.0771528399283,6.50649996321927,703042.916666667,127600.083333333,60766.3541666667,572461,258182,171813.219105114,1490716,0.557210763150057,0.537485456744167
"Q3 2006",799091,1.98939635279463,6.50649996321927,722994.833333333,76096.1666666666,60766.3541666667,585928.15625,213162.84375,171813.219105114,1504936,0.530980054965793,0.537485456744167
"Q4 2006",862952,10.8897761135533,6.50649996321927,744651.5,118300.5,60766.3541666667,599839.75,263112.25,171813.219105114,1514764,0.56969402494382,0.537485456744167
"Q1 2007",886927,5.78905810169944,6.50649996321927,765951,120976,60766.3541666667,613873.65625,273053.34375,171813.219105114,1547276,0.573218352769642,0.537485456744167
"Q2 2007",971226,16.9245993766275,6.50649996321927,794386.666666667,176839.333333333,60766.3541666667,629321.90625,341904.09375,171813.219105114,1576612,0.616020936032454,0.537485456744167
"Q3 2007",1029723,28.8617942136753,6.50649996321927,825025.583333333,204697.416666667,60766.3541666667,646048.3125,383674.6875,171813.219105114,1582248,0.650797472962519,0.537485456744167
"Q4 2007",1058334,22.6411202477079,6.50649996321927,855714.5,202619.5,60766.3541666667,664917.3125,393416.6875,171813.219105114,1604508,0.659600326081266,0.537485456744167
"Q1 2008",1048446,18.2110816335504,6.50649996321927,884104.916666667,164341.083333333,60766.3541666667,683289.34375,365156.65625,171813.219105114,1637296,0.640352141579775,0.537485456744167
"Q2 2008",1074375,10.6204940971514,6.50649996321927,913485,160890,60766.3541666667,699243.625,375131.375,171813.219105114,1677448,0.640481851002237,0.537485456744167
"Q3 2008",800631,-22.2479249273834,6.50649996321927,914912.25,-114281.25,60766.3541666667,707464.875,93166.125,171813.219105114,1694512,0.472484703560671,0.537485456744167
"Q4 2008",807538,-23.6972449151213,6.50649996321927,917356.5,-109818.5,60766.3541666667,716429.40625,91108.59375,171813.219105114,1618908,0.498816486174631,0.537485456744167
"Q1 2009",796832,-23.9987562544947,6.50649996321927,913893.166666667,-117061.166666667,60766.3541666667,726011.5,70820.5,171813.219105114,1557232,0.511697678958562,0.537485456744167
"Q2 2009",876516,-18.4161954624782,6.50649996321927,917715.916666667,-41199.9166666666,60766.3541666667,737293.0625,139222.9375,171813.219105114,1548488,0.566046362645368,0.537485456744167
"Q3 2009",908733,13.5021002184527,6.50649996321927,926852.75,-18119.75,60766.3541666667,750615.5625,158117.4375,171813.219105114,1567924,0.579577198894844,0.537485456744167
"Q4 2009",953379,18.0599550733216,6.50649996321927,934388.333333333,18990.6666666666,60766.3541666667,763587.90625,189791.09375,171813.219105114,1611692,0.591539202279344,0.537485456744167
"Q1 2010",941443,18.1482420384724,6.50649996321927,938931.333333333,2511.66666666663,60766.3541666667,775331.1875,166111.8125,171813.219105114,1644032,0.572642746613205,0.537485456744167
"Q2 2010",908275,3.62332233524545,6.50649996321927,933685.416666667,-25410.4166666666,60766.3541666667,786696.15625,121578.84375,171813.219105114,1653240,0.549390893034284,0.537485456744167
"Q3 2010",960209,5.66459014914172,6.50649996321927,927892.583333333,32316.4166666666,60766.3541666667,800974.34375,159234.65625,171813.219105114,1665372,0.576573282125555,0.537485456744167
"Q4 2010",1031588,8.20334830114781,6.50649996321927,925663.75,105924.25,60766.3541666667,817743.4375,213844.5625,171813.219105114,1701548,0.606264413345965,0.537485456744167
"Q1 2011",1067514,13.3912515149616,6.50649996321927,927252.75,140261.25,60766.3541666667,836141.3125,231372.6875,171813.219105114,1737952,0.614236756826426,0.537485456744167
"Q2 2011",1020834,12.3926123696017,6.50649996321927,922791,98043,60766.3541666667,851283.78125,169550.21875,171813.219105114,1759852,0.580068096635399,0.537485456744167
"Q3 2011",899210,-6.35267946874066,6.50649996321927,931005.916666667,-31795.9166666666,60766.3541666667,861894.46875,37315.53125,171813.219105114,1785748,0.503548093012004,0.537485456744167
"Q4 2011",918234,-10.9883015312315,6.50649996321927,940230.583333333,-21996.5833333334,60766.3541666667,871743.28125,46490.71875,171813.219105114,1812700,0.506555966238208,0.537485456744167
"Q1 2012",945872,-11.3948856876818,6.50649996321927,952650.583333333,-6778.58333333337,60766.3541666667,881572.625,64299.375,171813.219105114,1815120,0.521107144431222,0.537485456744167
"Q2 2012",925543,-9.33462247534859,6.50649996321927,956736.166666667,-31193.1666666666,60766.3541666667,890808.40625,34734.59375,171813.219105114,1818984,0.508824156782028,0.537485456744167
"Q3 2012",975000,8.42850946942316,6.50649996321927,962258.416666667,12741.5833333334,60766.3541666667,900587.90625,74412.09375,171813.219105114,1830636,0.532601784297916,0.537485456744167
"Q4 2012",999575,8.85841735331081,6.50649996321927,966108.083333333,33466.9166666666,60766.3541666667,910260.03125,89314.96875,171813.219105114,1844064,0.542050059000121,0.537485456744167
"Q1 2013",1042340,10.1988429724106,6.50649996321927,974516.166666667,67823.8333333334,60766.3541666667,920715.625,121624.375,171813.219105114,1876844,0.555368480278595,0.537485456744167
"Q2 2013",1012188,9.36153155498988,6.50649996321927,983175.583333333,29012.4166666666,60766.3541666667,929789.8125,82398.1875,171813.219105114,1886592,0.536516639527783,0.537485456744167
"Q3 2013",1053115,8.01179487179487,6.50649996321927,990917.75,62197.25,60766.3541666667,938215.15625,114899.84375,171813.219105114,1912428,0.550669097084962,0.537485456744167
"Q4 2013",1103519,10.3988194982868,6.50649996321927,996912,106607,60766.3541666667,948381.15625,155137.84375,171813.219105114,1933124,0.5708474986602,0.537485456744167
"Q1 2014",1190417,14.2062091064336,6.50649996321927,1007153.91666667,183263.083333333,60766.3541666667,959381.9375,231035.0625,171813.219105114,1963452,0.60628780331783,0.537485456744167
"Q2 2014",1220421,20.5725616189878,6.50649996321927,1023786.16666667,196634.833333333,60766.3541666667,971562.5,248858.5,171813.219105114,1988404,0.61376913343566,0.537485456744167
"Q3 2014",1216650,15.5286934475342,6.50649996321927,1050239.5,166410.5,60766.3541666667,984611.21875,232038.78125,171813.219105114,2013792,0.604158721456834,0.537485456744167
"Q4 2014",1206649,9.34555725818948,6.50649996321927,1074274.08333333,132374.916666667,60766.3541666667,995351.75,211297.25,171813.219105114,2013944,0.599147245405036,0.537485456744167
"Q1 2015",1228677,3.21399980007006,6.50649996321927,1097841.16666667,130835.833333333,60766.3541666667,1006031.4375,222645.5625,171813.219105114,1984300,0.619199213828554,0.537485456744167
"Q2 2015",1218023,-0.196489572041124,6.50649996321927,1122214.5,95808.5,60766.3541666667,1013743.84375,204279.15625,171813.219105114,1984920,0.613638333031054,0.537485456744167
"Q3 2015",1166441,-4.12682365511856,6.50649996321927,1138167.91666667,28273.0833333333,60766.3541666667,1018016.28125,148424.71875,171813.219105114,2000864,0.582968657539943,0.537485456744167
"Q4 2015",1196099,-0.874322193114982,6.50649996321927,1154544.91666667,41554.0833333333,60766.3541666667,1022321.4375,173777.5625,171813.219105114,1991680,0.60054777875964,0.537485456744167
"Q1 2016",1208264,-1.66138049300182,6.50649996321927,1168371.91666667,39892.0833333333,60766.3541666667,1027315.75,180948.25,171813.219105114,1998420,0.604609641616877,0.537485456744167
"Q2 2016",1255698,3.0931271412773,6.50649996321927,1188664.41666667,67033.5833333333,60766.3541666667,1032982.09375,222715.90625,171813.219105114,2002152,0.627174160603191,0.537485456744167
"Q3 2016",1280401,9.76988977582235,6.50649996321927,1207604.91666667,72796.0833333333,60766.3541666667,1047974.90625,232426.09375,171813.219105114,2035420,0.629059850055517,0.537485456744167
"Q4 2016",1292557,8.06438263053476,6.50649996321927,1223358.08333333,69198.9166666667,60766.3541666667,1063131.75,229425.25,171813.219105114,2066148,0.625587808811373,0.537485456744167
"Q1 2017",1281211,6.03733952182636,6.50649996321927,1230924.25,50286.75,60766.3541666667,1078268.59375,202942.40625,171813.219105114,2107708,0.607869306374507,0.537485456744167
"Q2 2017",1272494,1.33758276273435,6.50649996321927,1235263.66666667,37230.3333333333,60766.3541666667,1090642.90625,181851.09375,171813.219105114,2130892,0.597164943131796,0.537485456744167
"Q3 2017",1277551,-0.222586517817465,6.50649996321927,1240338.75,37212.25,60766.3541666667,1102168.46875,175382.53125,171813.219105114,2143864,0.595910468201341,0.537485456744167
"Q4 2017",1287796,-0.368339655427188,6.50649996321927,1247101,40695,60766.3541666667,1112619,175177,171813.219105114,2181964,0.59020038827405,0.537485456744167
"Q1 2018",1244698,-2.84988186957496,6.50649996321927,1248436.08333333,-3738.08333333326,60766.3541666667,1122095.71875,122602.28125,171813.219105114,2202260,0.565191212663355,0.537485456744167
"Q2 2018",1309735,2.92661497814528,6.50649996321927,1256078.75,53656.25,60766.3541666667,1134641.34375,175093.65625,171813.219105114,2219616,0.590072787365022,0.537485456744167
"Q3 2018",1287384,0.76967573114498,6.50649996321927,1266157.33333333,21226.6666666667,60766.3541666667,1144865.5625,142518.4375,171813.219105114,2244092,0.573677015024339,0.537485456744167
"Q4 2018",1246068,-3.24026476243132,6.50649996321927,1270321.41666667,-24253.4166666667,60766.3541666667,1151568.0625,94499.9375,171813.219105114,2229456,0.558911232157082,0.537485456744167
"Q1 2019",1353328,8.72741821710969,6.50649996321927,1282410.08333333,70917.9166666667,60766.3541666667,1160499.75,192828.25,171813.219105114,2260360,0.598722327416872,0.537485456744167
"Q2 2019",1357231,3.62638243614166,6.50649996321927,1290871.16666667,66359.8333333333,60766.3541666667,1171012.15625,186218.84375,171813.219105114,2305088,0.588797911402949,0.537485456744167
"Q3 2019",1381772,7.33176736700161,6.50649996321927,1299318.75,82453.25,60766.3541666667,1186092.21875,195679.78125,171813.219105114,2312284,0.597578844121224,0.537485456744167
"Q4 2019",1431973,14.9193302452194,6.50649996321927,1310936.75,121036.25,60766.3541666667,1202146.5625,229826.4375,171813.219105114,2337684,0.612560551383335,0.537485456744167
