"Period","General Gov Gross Debt","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: General Gov Gross Debt to GDP","Mean_of_Ratio"
"Q3 1999",1175043,2.89712677950785,3.65886660965548,1147494.58333333,27548.4166666667,82495.4479166667,1036334.0625,138708.9375,228011.432883523,1021308,1.15052755877757,1.0385999661551
"Q4 1999",1185088,2.5978264727755,3.65886660965548,1152876.41666667,32211.5833333333,82495.4479166667,1048826.5625,136261.4375,228011.432883523,1040988,1.13842618742963,1.0385999661551
"Q1 2000",1197190,1.52397476634959,3.65886660965548,1158224.08333333,38965.9166666667,82495.4479166667,1061065.28125,136124.71875,228011.432883523,1070188,1.11867260705596,1.0385999661551
"Q2 2000",1195448,1.79570148847032,3.65886660965548,1163641,31807,82495.4479166667,1072640.625,122807.375,228011.432883523,1099448,1.08731654430223,1.0385999661551
"Q3 2000",1188231,1.12234190578558,3.65886660965548,1168834.33333333,19396.6666666667,82495.4479166667,1083322,104909,228011.432883523,1121768,1.05924843639683,1.0385999661551
"Q4 2000",1191795,0.565949532861695,3.65886660965548,1173761.91666667,18033.0833333333,82495.4479166667,1093856.375,97938.625,228011.432883523,1132880,1.05200462537956,1.0385999661551
"Q1 2001",1217611,1.70574428453295,3.65886660965548,1179108.66666667,38502.3333333333,82495.4479166667,1103914.96875,113696.03125,228011.432883523,1149924,1.05886215088997,1.0385999661551
"Q2 2001",1194842,-0.0506922927638843,3.65886660965548,1182988.91666667,11853.0833333333,82495.4479166667,1112642.84375,82199.15625,228011.432883523,1152860,1.03641552313377,1.0385999661551
"Q3 2001",1217942,2.50043972931189,3.65886660965548,1189320.83333333,28621.1666666667,82495.4479166667,1121706.875,96235.125,228011.432883523,1138804,1.06949220410185,1.0385999661551
"Q4 2001",1222851,2.60581727562207,3.65886660965548,1194968.33333333,27882.6666666667,82495.4479166667,1130459.0625,92391.9375,228011.432883523,1136584,1.07590024142518,1.0385999661551
