"Period","Banks Non-Residential Mortgages","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Non-Residential Mortgages to GDP","Mean_of_Ratio"
"Q3 1996",12903,-8.01311755899337,7.14435237256936,13862.1666666667,-959.166666666666,3273.64903846154,10513.625,2389.375,8363.43930288462,864544,0.0149246307880224,0.0195175107541062
"Q4 1996",12785,-4.04533173221255,7.14435237256936,13755.8333333333,-970.833333333334,3273.64903846154,10732.0625,2052.9375,8363.43930288462,877680,0.0145668125056968,0.0195175107541062
"Q1 1997",13000,-1.14820165766862,7.14435237256936,13673.4166666667,-673.416666666666,3273.64903846154,10951.25,2048.75,8363.43930288462,891748,0.0145781095107586,0.0195175107541062
"Q2 1997",13064,2.39849506192193,7.14435237256936,13503.25,-439.25,3273.64903846154,11159.40625,1904.59375,8363.43930288462,899412,0.0145250452517867,0.0195175107541062
"Q3 1997",14080,9.12190963341859,7.14435237256936,13464.0833333333,615.916666666666,3273.64903846154,11390.28125,2689.71875,8363.43930288462,912564,0.0154290548388935,0.0195175107541062
"Q4 1997",14194,11.0207274149394,7.14435237256936,13467.8333333333,726.166666666666,3273.64903846154,11621.3125,2572.6875,8363.43930288462,923980,0.0153618043680599,0.0195175107541062
"Q1 1998",14219,9.37692307692308,7.14435237256936,13472.9166666667,746.083333333334,3273.64903846154,11847.5625,2371.4375,8363.43930288462,934612,0.0152137999512097,0.0195175107541062
"Q2 1998",14437,10.5097979179424,7.14435237256936,13495.1666666667,941.833333333334,3273.64903846154,12070.84375,2366.15625,8363.43930288462,935212,0.0154371415251301,0.0195175107541062
"Q3 1998",14432,2.5,7.14435237256936,13528.9166666667,903.083333333334,3273.64903846154,12293.25,2138.75,8363.43930288462,938872,0.0153716374543069,0.0195175107541062
"Q4 1998",14081,-0.796111032830774,7.14435237256936,13592,489,3273.64903846154,12499.40625,1581.59375,8363.43930288462,953496,0.0147677599067012,0.0195175107541062
"Q1 1999",14034,-1.30107602503692,7.14435237256936,13665.5833333333,368.416666666666,3273.64903846154,12701.21875,1332.78125,8363.43930288462,975240,0.0143903039251876,0.0195175107541062
