"Period","Money Supply M2","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Money Supply M2 to GDP","Mean_of_Ratio"
"Q4 1980",145702,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,339304,NA,0.559288545922521
"Q1 1981",150734,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,355992,NA,0.559288545922521
"Q2 1981",155501,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,367992,NA,0.559288545922521
"Q3 1981",162543,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,372820,NA,0.559288545922521
"Q4 1981",161525,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,376628,NA,0.559288545922521
"Q1 1982",166103,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,383004,NA,0.559288545922521
"Q2 1982",169413,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,386516,NA,0.559288545922521
"Q3 1982",170649,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,389560,NA,0.559288545922521
"Q4 1982",173573,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,393644,NA,0.559288545922521
"Q1 1983",177360,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,403236,NA,0.559288545922521
"Q2 1983",178843,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,415804,NA,0.559288545922521
"Q3 1983",182606,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,428960,NA,0.559288545922521
"Q4 1983",183901,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,437264,NA,0.559288545922521
"Q1 1984",186526,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,447840,NA,0.559288545922521
"Q2 1984",190557,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,459552,NA,0.559288545922521
"Q3 1984",194220,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,465180,NA,0.559288545922521
"Q4 1984",198799,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,475372,NA,0.559288545922521
"Q1 1985",203588,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,486096,NA,0.559288545922521
"Q2 1985",208615,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,495352,NA,0.559288545922521
"Q3 1985",214664,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,503872,NA,0.559288545922521
