"Period","Total Household Credit","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Disposable Income","Ratio: Total Household Credit to Disposable Income","Mean_of_Ratio"
"Q4 1997",524904,7.18320040185737,6.78348274075884,480640.333333333,44263.6666666667,94758.0120192308,421516.5625,103387.4375,250590.173076923,505812,1.03774524922303,1.35429011686757
"Q1 1998",533516,7.02427281845537,6.78348274075884,487935,45581,94758.0120192308,427829.375,105686.625,250590.173076923,508368,1.04946810184748,1.35429011686757
"Q2 1998",540967,7.00881244622034,6.78348274075884,495583.666666667,45383.3333333333,94758.0120192308,434082.875,106884.125,250590.173076923,510620,1.05943167130156,1.35429011686757
"Q3 1998",549027,6.61815682002225,6.78348274075884,503272.833333333,45754.1666666667,94758.0120192308,440400.53125,108626.46875,250590.173076923,523392,1.04897858584006,1.35429011686757
"Q4 1998",558145,6.33277704113514,6.78348274075884,511289.583333333,46855.4166666667,94758.0120192308,446849.34375,111295.65625,250590.173076923,531968,1.04920784708855,1.35429011686757
"Q1 1999",562382,5.41052189625053,6.78348274075884,519215,43167,94758.0120192308,453361.78125,109020.21875,250590.173076923,534304,1.05255060789363,1.35429011686757
"Q2 1999",570878,5.52917275915167,6.78348274075884,527374.25,43503.75,94758.0120192308,459915,110963,250590.173076923,543140,1.05106970578488,1.35429011686757
"Q3 1999",581538,5.92156669890552,6.78348274075884,535838.75,45699.25,94758.0120192308,466582.5,114955.5,250590.173076923,550512,1.05635844450257,1.35429011686757
"Q4 1999",592845,6.21702245832176,6.78348274075884,544432,48413,94758.0120192308,473430.9375,119414.0625,250590.173076923,557084,1.06419319169102,1.35429011686757
"Q1 2000",606032,7.76162821711932,6.78348274075884,553393,52639,94758.0120192308,480639.71875,125392.28125,250590.173076923,563668,1.07515771695395,1.35429011686757
"Q2 2000",615369,7.7934339736336,6.78348274075884,562545.833333333,52823.1666666666,94758.0120192308,487918.625,127450.375,250590.173076923,573208,1.0735527068708,1.35429011686757
"Q3 2000",625803,7.61171239024793,6.78348274075884,571783.833333333,54019.1666666666,94758.0120192308,495333.15625,130469.84375,250590.173076923,586036,1.06785760601738,1.35429011686757
"Q4 2000",632742,6.72975229613137,6.78348274075884,580770.333333333,51971.6666666666,94758.0120192308,502769.40625,129972.59375,250590.173076923,595804,1.06199689830884,1.35429011686757
