"Period","Outward FPI - Bonds","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward FPI - Bonds to GDP","Mean_of_Ratio"
"Q3 2011",161553,5.00272982529118,16.0885121418212,146551.75,15001.25,32234.8106060606,121304.6875,40248.3125,73499.6981534091,1785748,0.0904679719646893,0.100368706378029
"Q4 2011",161752,3.96241331216618,16.0885121418212,148163.083333333,13588.9166666667,32234.8106060606,124830.21875,36921.78125,73499.6981534091,1812700,0.0892326363987422,0.100368706378029
"Q1 2012",160594,6.51729810039266,16.0885121418212,149367.916666667,11226.0833333333,32234.8106060606,128181.46875,32412.53125,73499.6981534091,1815120,0.088475693067125,0.100368706378029
"Q2 2012",173739,19.9225544603661,16.0885121418212,151820.583333333,21918.4166666667,32234.8106060606,131864.53125,41874.46875,73499.6981534091,1818984,0.0955143090868309,0.100368706378029
"Q3 2012",177149,9.65379782486243,16.0885121418212,155125.25,22023.75,32234.8106060606,135605.15625,41543.84375,73499.6981534091,1830636,0.0967691010118888,0.100368706378029
"Q4 2012",196921,21.7425441416489,16.0885121418212,160023.666666667,36897.3333333333,32234.8106060606,139792.21875,57128.78125,73499.6981534091,1844064,0.10678642389852,0.100368706378029
"Q1 2013",193249,20.3338854502659,16.0885121418212,164676.666666667,28572.3333333333,32234.8106060606,143646.90625,49602.09375,73499.6981534091,1876844,0.102964870815049,0.100368706378029
"Q2 2013",193582,11.4211547205866,16.0885121418212,168635.5,24946.5,32234.8106060606,147278.1875,46303.8125,73499.6981534091,1886592,0.102609361218536,0.100368706378029
"Q3 2013",194846,9.9898955116879,16.0885121418212,172051.333333333,22794.6666666667,32234.8106060606,150802.0625,44043.9375,73499.6981534091,1912428,0.101884097074504,0.100368706378029
"Q4 2013",226170,14.853164466969,16.0885121418212,177933.25,48236.75,32234.8106060606,155095,71075,73499.6981534091,1933124,0.116997150725975,0.100368706378029
"Q1 2014",248051,28.3582321253926,16.0885121418212,186040.166666667,62010.8333333333,32234.8106060606,159779.1875,88271.8125,73499.6981534091,1963452,0.126334129889603,0.100368706378029
"Q2 2014",241821,24.9191557066256,16.0885121418212,194118.916666667,47702.0833333333,32234.8106060606,164009.65625,77811.34375,73499.6981534091,1988404,0.12161562740771,0.100368706378029
"Q3 2014",262666,34.8069757654763,16.0885121418212,202545,60121,32234.8106060606,168520.375,94145.625,73499.6981534091,2013792,0.130433530374537,0.100368706378029
"Q4 2014",285117,26.0631383472609,16.0885121418212,212825.416666667,72291.5833333333,32234.8106060606,173253.40625,111863.59375,73499.6981534091,2013944,0.141571463754702,0.100368706378029
"Q1 2015",319516,28.8106074960391,16.0885121418212,226068.916666667,93447.0833333333,32234.8106060606,178498.1875,141017.8125,73499.6981534091,1984300,0.161022022879605,0.100368706378029
"Q2 2015",318711,31.7962459835994,16.0885121418212,238149.916666667,80561.0833333333,32234.8106060606,183460.4375,135250.5625,73499.6981534091,1984920,0.160566168913609,0.100368706378029
"Q3 2015",348511,32.6821895487044,16.0885121418212,252430.083333333,96080.9166666667,32234.8106060606,189580.4375,158930.5625,73499.6981534091,2000864,0.174180254130216,0.100368706378029
"Q4 2015",375749,31.7876520866872,16.0885121418212,267332.416666667,108416.583333333,32234.8106060606,196526.78125,179222.21875,73499.6981534091,1991680,0.188659322782776,0.100368706378029
"Q1 2016",373411,16.8676998960928,16.0885121418212,282345.916666667,91065.0833333333,32234.8106060606,203281.4375,170129.5625,73499.6981534091,1998420,0.186853113960028,0.100368706378029
"Q2 2016",379050,18.9321987631428,16.0885121418212,297801.583333333,81248.4166666667,32234.8106060606,210400.59375,168649.40625,73499.6981534091,2002152,0.189321290291646,0.100368706378029
"Q3 2016",389818,11.8524235963858,16.0885121418212,314049.25,75768.75,32234.8106060606,218095.125,171722.875,73499.6981534091,2035420,0.191517229859194,0.100368706378029
"Q4 2016",419615,11.6742825662876,16.0885121418212,330169.666666667,89445.3333333333,32234.8106060606,226757.59375,192857.40625,73499.6981534091,2066148,0.203090485289534,0.100368706378029
"Q1 2017",420512,12.6137151824665,16.0885121418212,344541.416666667,75970.5833333333,32234.8106060606,235331.84375,185180.15625,73499.6981534091,2107708,0.199511507286588,0.100368706378029
"Q2 2017",418746,10.4724970320538,16.0885121418212,359285.166666667,59460.8333333333,32234.8106060606,243908.0625,174837.9375,73499.6981534091,2130892,0.196512071001252,0.100368706378029
"Q3 2017",412359,5.78244206270619,16.0885121418212,371759.583333333,40599.4166666667,32234.8106060606,252497.625,159861.375,73499.6981534091,2143864,0.19234382404854,0.100368706378029
"Q4 2017",451239,7.53643220571238,16.0885121418212,385603.083333333,65635.9166666667,32234.8106060606,262281.96875,188957.03125,73499.6981534091,2181964,0.206804053595751,0.100368706378029
"Q1 2018",462632,10.0163610075337,16.0885121418212,397529.416666667,65102.5833333333,32234.8106060606,272445.0625,190186.9375,73499.6981534091,2202260,0.210071472033275,0.100368706378029
"Q2 2018",485989,16.0581832423474,16.0885121418212,411469.25,74519.75,32234.8106060606,283067.34375,202921.65625,73499.6981534091,2219616,0.218951836714098,0.100368706378029
"Q3 2018",494224,19.8528466700133,16.0885121418212,423612,70612,32234.8106060606,293703.84375,200520.15625,73499.6981534091,2244092,0.220233395065799,0.100368706378029
"Q4 2018",534836,18.5261025753536,16.0885121418212,436869.25,97966.75,32234.8106060606,305555.375,229280.625,73499.6981534091,2229456,0.239895292842738,0.100368706378029
"Q1 2019",554547,19.8678431236923,16.0885121418212,451963.916666667,102583.083333333,32234.8106060606,318173.46875,236373.53125,73499.6981534091,2260360,0.245335698738254,0.100368706378029
"Q2 2019",561762,15.5915051575241,16.0885121418212,467189.916666667,94572.0833333333,32234.8106060606,331201.15625,230560.84375,73499.6981534091,2305088,0.24370522947497,0.100368706378029
"Q3 2019",588700,19.1160283596102,16.0885121418212,483763.416666667,104936.583333333,32234.8106060606,344549.5,244150.5,73499.6981534091,2312284,0.254596753685966,0.100368706378029
"Q4 2019",602168,12.5892797044328,16.0885121418212,498976.166666667,103191.833333333,32234.8106060606,358312.5,243855.5,73499.6981534091,2337684,0.257591701872452,0.100368706378029
