"Period","Cross-Border Financial Liabilities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Cross-Border Financial Liabilities to GDP","Mean_of_Ratio"
"Q3 2012",2720296,9.92685002517536,6.62727369160135,2496204.58333333,224091.416666667,209795.921401515,2198482.625,521813.375,545651.97265625,1830636,1.48598410607024,1.47446275287296
"Q4 2012",2809465,11.2928712650863,6.62727369160135,2539599.08333333,269865.916666667,209795.921401515,2234492.75,574972.25,545651.97265625,1844064,1.52351816422857,1.47446275287296
"Q1 2013",2863366,10.0794177416267,6.62727369160135,2586284.33333333,277081.666666667,209795.921401515,2271025.0625,592340.9375,545651.97265625,1876844,1.52562812892281,1.47446275287296
"Q2 2013",2806729,8.40767849211101,6.62727369160135,2628610.66666667,178118.333333333,209795.921401515,2304615.90625,502113.09375,545651.97265625,1886592,1.487724425843,1.47446275287296
"Q3 2013",2860596,5.15752697500566,6.62727369160135,2665215.16666667,195380.833333333,209795.921401515,2336934.53125,523661.46875,545651.97265625,1912428,1.49579278278712,1.47446275287296
"Q4 2013",3009100,7.10580128245057,6.62727369160135,2704040.83333333,305059.166666667,209795.921401515,2374066.78125,635033.21875,545651.97265625,1933124,1.55659957664382,1.47446275287296
"Q1 2014",3196274,11.6264564152819,6.62727369160135,2752408.5,443865.5,209795.921401515,2413581.84375,782692.15625,545651.97265625,1963452,1.6278849699407,1.47446275287296
"Q2 2014",3259178,16.1201526759441,6.62727369160135,2809522.25,449655.75,209795.921401515,2454934.125,804243.875,545651.97265625,1988404,1.6390924580719,1.47446275287296
"Q3 2014",3302807,15.4587016132303,6.62727369160135,2878536,424271,209795.921401515,2497739.09375,805067.90625,545651.97265625,2013792,1.64009341580461,1.47446275287296
"Q4 2014",3398536,12.9419427735868,6.62727369160135,2951381.58333333,447154.416666667,209795.921401515,2539965.09375,858570.90625,545651.97265625,2013944,1.68750273095975,1.47446275287296
"Q1 2015",3603775,12.7492511593186,6.62727369160135,3034931,568844,209795.921401515,2586474.125,1017300.875,545651.97265625,1984300,1.81614423222295,1.47446275287296
"Q2 2015",3592898,10.2393916502873,6.62727369160135,3118585,474313,209795.921401515,2629935.21875,962962.78125,545651.97265625,1984920,1.81009713237813,1.47446275287296
"Q3 2015",3568647,8.04891112317492,6.62727369160135,3189280.91666667,379366.083333333,209795.921401515,2671496.09375,897150.90625,545651.97265625,2000864,1.7835530051018,1.47446275287296
"Q4 2015",3689197,8.55253556237156,6.62727369160135,3262591.91666667,426605.083333333,209795.921401515,2716483.96875,972713.03125,545651.97265625,1991680,1.85230408499357,1.47446275287296
"Q1 2016",3637557,0.937405914631185,6.62727369160135,3327107.83333333,310449.166666667,209795.921401515,2758514.21875,879042.78125,545651.97265625,1998420,1.8202164710121,1.47446275287296
"Q2 2016",3793554,5.58479533791385,6.62727369160135,3409343.25,384210.75,209795.921401515,2803674.71875,989879.28125,545651.97265625,2002152,1.89473826163049,1.47446275287296
"Q3 2016",3932274,10.1894919839368,6.62727369160135,3498649.75,433624.25,209795.921401515,2864285.03125,1067988.96875,545651.97265625,2035420,1.93192264987079,1.47446275287296
"Q4 2016",4024198,9.0805939612333,6.62727369160135,3583241.25,440956.75,209795.921401515,2927471.46875,1096726.53125,545651.97265625,2066148,1.94768138584458,1.47446275287296
"Q1 2017",4073197,11.976169720502,6.62727369160135,3656318.16666667,416878.833333333,209795.921401515,2991659.78125,1081537.21875,545651.97265625,2107708,1.93252433449036,1.47446275287296
"Q2 2017",4070948,7.31224598358162,6.62727369160135,3723965.66666667,346982.333333333,209795.921401515,3052084.5625,1018863.4375,545651.97265625,2130892,1.91044313836647,1.47446275287296
"Q3 2017",4064354,3.35887071958872,6.62727369160135,3787427.91666667,276926.083333333,209795.921401515,3109722.03125,954631.96875,545651.97265625,2143864,1.89580775646216,1.47446275287296
"Q4 2017",4221382,4.89995770585841,6.62727369160135,3855998.41666667,365383.583333333,209795.921401515,3170117.375,1051264.625,545651.97265625,2181964,1.93467078283601,1.47446275287296
"Q1 2018",4159390,2.11610192190557,6.62727369160135,3902299.66666667,257090.333333333,209795.921401515,3228125.09375,931264.90625,545651.97265625,2202260,1.88869161679366,1.47446275287296
"Q2 2018",4296654,5.54431056353459,6.62727369160135,3960946,335708,209795.921401515,3290557.625,1006096.375,545651.97265625,2219616,1.93576456468146,1.47446275287296
"Q3 2018",4273809,5.15346350244098,6.62727369160135,4019709.5,254099.5,209795.921401515,3348447.21875,925361.78125,545651.97265625,2244092,1.90447138530862,1.47446275287296
"Q4 2018",4303240,1.93912799173351,6.62727369160135,4070879.75,232360.25,209795.921401515,3403448.71875,899791.28125,545651.97265625,2229456,1.93017489468283,1.47446275287296
"Q1 2019",4483386,7.78950759606577,6.62727369160135,4141365.5,342020.5,209795.921401515,3461808.84375,1021577.15625,545651.97265625,2260360,1.9834831619742,1.47446275287296
"Q2 2019",4551747,5.93701517506413,6.62727369160135,4204548.25,347198.75,209795.921401515,3523619.28125,1028127.71875,545651.97265625,2305088,1.97465216078518,1.47446275287296
"Q3 2019",4638534,8.5339564776994,6.62727369160135,4263403.25,375130.75,209795.921401515,3591240.90625,1047293.09375,545651.97265625,2312284,2.00603991551211,1.47446275287296
"Q4 2019",4778314,11.0399141112278,6.62727369160135,4326246.25,452067.75,209795.921401515,3661676.0625,1116637.9375,545651.97265625,2337684,2.04403760302932,1.47446275287296
