"Period","Outward Cross-Border Deposits","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward Cross-Border Deposits to GDP","Mean_of_Ratio"
"Q4 2014",300149,12.7731041919497,7.32657503797818,261223.333333333,38925.6666666667,20124.4450757576,228430.71875,71718.28125,52356.4172585227,2013944,0.149035425016783,0.125551462179631
"Q1 2015",319377,15.9132729166591,7.32657503797818,267736.333333333,51640.6666666667,20124.4450757576,234130.15625,85246.84375,52356.4172585227,1984300,0.160951972987955,0.125551462179631
"Q2 2015",308835,13.8096484019443,7.32657503797818,272671.166666667,36163.8333333333,20124.4450757576,239361.1875,69473.8125,52356.4172585227,1984920,0.155590653527598,0.125551462179631
"Q3 2015",334632,23.7503189612772,7.32657503797818,280088.25,54543.75,20124.4450757576,245084.6875,89547.3125,52356.4172585227,2000864,0.167243750699698,0.125551462179631
"Q4 2015",361997,20.6057658029845,7.32657503797818,289335.666666667,72661.3333333333,20124.4450757576,251462.90625,110534.09375,52356.4172585227,1991680,0.181754599132391,0.125551462179631
"Q1 2016",338327,5.93342663998973,7.32657503797818,296644.166666667,41682.8333333333,20124.4450757576,256487.625,81839.375,52356.4172585227,1998420,0.16929724482341,0.125551462179631
"Q2 2016",372949,20.7599527255654,7.32657503797818,305479.666666667,67469.3333333333,20124.4450757576,262349.875,110599.125,52356.4172585227,2002152,0.186274069101647,0.125551462179631
"Q3 2016",383262,14.53238184035,7.32657503797818,316915.166666667,66346.8333333333,20124.4450757576,268127.21875,115134.78125,52356.4172585227,2035420,0.18829627300508,0.125551462179631
"Q4 2016",404692,11.7942966378174,7.32657503797818,328460.083333333,76231.9166666667,20124.4450757576,273687.1875,131004.8125,52356.4172585227,2066148,0.195867866193516,0.125551462179631
"Q1 2017",375484,10.9825701170761,7.32657503797818,336789.5,38694.5,20124.4450757576,278240.875,97243.125,52356.4172585227,2107708,0.178148016708197,0.125551462179631
"Q2 2017",379699,1.80989894060582,7.32657503797818,345817.666666667,33881.3333333333,20124.4450757576,283326.625,96372.375,52356.4172585227,2130892,0.17818781993644,0.125551462179631
