"Period","Monetary Base","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Monetary Base to GDP","Mean_of_Ratio"
"Q2 1992",26162,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,714744,NA,0.036270832949766
"Q3 1992",27115,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,721660,NA,0.036270832949766
"Q4 1992",27384,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,727332,NA,0.036270832949766
"Q1 1993",27615,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,733952,NA,0.036270832949766
"Q2 1993",28258,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,745360,NA,0.036270832949766
"Q3 1993",28717,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,750068,NA,0.036270832949766
"Q4 1993",28832,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,758768,NA,0.036270832949766
"Q1 1994",29409,6.49646931015752,4.82760090927788,27254.75,2154.25,3512.28044871795,24396.4375,5012.5625,9045.29567307692,772656,0.0380622165620923,0.036270832949766
"Q2 1994",29455,4.23596857527072,4.82760090927788,27599.8333333333,1855.16666666667,3512.28044871795,24697.15625,4757.84375,9045.29567307692,783660,0.0375864533088329,0.036270832949766
"Q3 1994",29237,1.81077410593029,4.82760090927788,27896.5833333333,1340.41666666667,3512.28044871795,24985.8125,4251.1875,9045.29567307692,800784,0.0365104697396551,0.036270832949766
"Q4 1994",29322,1.69950055493896,4.82760090927788,28158.5833333333,1163.41666666667,3512.28044871795,25259.46875,4062.53125,9045.29567307692,810788,0.0361648174368639,0.036270832949766
"Q1 1995",29601,0.652861368968683,4.82760090927788,28425.5833333333,1175.41666666667,3512.28044871795,25542.875,4058.125,9045.29567307692,823972,0.0359247644337429,0.036270832949766
"Q2 1995",29434,-0.0712951960617892,4.82760090927788,28698.25,735.75,3512.28044871795,25809.34375,3624.65625,9045.29567307692,828856,0.0355115967067862,0.036270832949766
"Q3 1995",29617,1.29972295379143,4.82760090927788,28906.75,710.25,3512.28044871795,26055.40625,3561.59375,9045.29567307692,832976,0.0355556462611168,0.036270832949766
"Q4 1995",29626,1.03676420435168,4.82760090927788,29093.5833333333,532.416666666668,3512.28044871795,26287.96875,3338.03125,9045.29567307692,840680,0.0352405195793881,0.036270832949766
"Q1 1996",29698,0.327691632039458,4.82760090927788,29267.1666666667,430.833333333332,3512.28044871795,26529.15625,3168.84375,9045.29567307692,844208,0.0351785342001023,0.036270832949766
"Q2 1996",30115,2.31365087993477,4.82760090927788,29421.9166666667,693.083333333332,3512.28044871795,26778.84375,3336.15625,9045.29567307692,852904,0.0353087803551162,0.036270832949766
"Q3 1996",30500,2.98139581996826,4.82760090927788,29570.5,929.5,3512.28044871795,27012.28125,3487.71875,9045.29567307692,864544,0.0352787134026724,0.036270832949766
"Q4 1996",30865,4.1821373118207,4.82760090927788,29739.9166666667,1125.08333333333,3512.28044871795,27251.4375,3613.5625,9045.29567307692,877680,0.0351665755172728,0.036270832949766
"Q1 1997",31212,5.09798639639033,4.82760090927788,29890.1666666667,1321.83333333333,3512.28044871795,27503.03125,3708.96875,9045.29567307692,891748,0.0350009195422922,0.036270832949766
"Q2 1997",31581,4.86800597708783,4.82760090927788,30067.3333333333,1513.66666666667,3512.28044871795,27753.21875,3827.78125,9045.29567307692,899412,0.0351129404544302,0.036270832949766
"Q3 1997",31897,4.58032786885246,4.82760090927788,30289,1608,3512.28044871795,28012.3125,3884.6875,9045.29567307692,912564,0.0349531649287064,0.036270832949766
"Q4 1997",32491,5.26810302932124,4.82760090927788,30553.0833333333,1937.91666666667,3512.28044871795,28275.59375,4215.40625,9045.29567307692,923980,0.0351641810428797,0.036270832949766
"Q1 1998",32856,5.26720492118416,4.82760090927788,30824.3333333333,2031.66666666667,3512.28044871795,28542.84375,4313.15625,9045.29567307692,934612,0.0351546952104189,0.036270832949766
"Q2 1998",33314,5.48747664735126,4.82760090927788,31147.6666666667,2166.33333333333,3512.28044871795,28822.5625,4491.4375,9045.29567307692,935212,0.0356218696937165,0.036270832949766
"Q3 1998",34332,7.63394676615356,4.82760090927788,31540.5833333333,2791.41666666667,3512.28044871795,29134.46875,5197.53125,9045.29567307692,938872,0.0365672849973159,0.036270832949766
