"Period","General Gov External Debt","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: General Gov External Debt to GDP","Mean_of_Ratio"
"Q1 2001",226268,-2.19202123290928,3.29079087377488,242337.333333333,-16069.3333333333,12842.9725378788,249174.5,-22906.5,37160.1484375,1149924,0.19676778639284,0.184148064749742
"Q2 2001",214387,-6.71890840581476,3.29079087377488,238151.916666667,-23764.9166666667,12842.9725378788,248911.875,-34524.875,37160.1484375,1152860,0.185961001335808,0.184148064749742
"Q3 2001",217179,-2.30364372469636,3.29079087377488,234562.833333333,-17383.8333333333,12842.9725378788,248350.59375,-31171.59375,37160.1484375,1138804,0.190707970818508,0.184148064749742
"Q4 2001",217658,-1.67905138339921,3.29079087377488,230264.583333333,-12606.5833333333,12842.9725378788,247861.5625,-30203.5625,37160.1484375,1136584,0.191501903950786,0.184148064749742
"Q1 2002",214097,-5.37901956971379,3.29079087377488,226842.5,-12745.5,12842.9725378788,247480.0625,-33383.0625,37160.1484375,1158640,0.184783021473452,0.184148064749742
"Q2 2002",210537,-1.79581784343267,3.29079087377488,224246.833333333,-13709.8333333333,12842.9725378788,246583.0625,-36046.0625,37160.1484375,1185892,0.177534716483457,0.184148064749742
"Q3 2002",224263,3.26182549878211,3.29079087377488,222773.916666667,1489.08333333334,12842.9725378788,246190,-21927,37160.1484375,1204144,0.186242675294649,0.184148064749742
"Q4 2002",235739,8.30706888788834,3.29079087377488,222080.916666667,13658.0833333333,12842.9725378788,246151.09375,-10412.09375,37160.1484375,1226100,0.192267351765761,0.184148064749742
"Q1 2003",227544,6.28079795606664,3.29079087377488,221764.666666667,5779.33333333334,12842.9725378788,245091.78125,-17547.78125,37160.1484375,1250088,0.182022385624052,0.184148064749742
"Q2 2003",226427,7.54736697112622,3.29079087377488,221481.166666667,4945.83333333334,12842.9725378788,243918.6875,-17491.6875,37160.1484375,1237720,0.182938790679637,0.184148064749742
"Q3 2003",203331,-9.33368411195783,3.29079087377488,219900.416666667,-16569.4166666667,12842.9725378788,241967.1875,-38636.1875,37160.1484375,1258296,0.161592343931793,0.184148064749742
"Q4 2003",196329,-16.7176411200523,3.29079087377488,217813.25,-21484.25,12842.9725378788,239862.875,-43533.875,37160.1484375,1272884,0.154239506506484,0.184148064749742
"Q1 2004",197106,-13.376753507014,3.29079087377488,215383.083333333,-18277.0833333333,12842.9725378788,237603.84375,-40497.84375,37160.1484375,1296216,0.152062619193097,0.184148064749742
"Q2 2004",190620,-15.8139267843499,3.29079087377488,213402.5,-22782.5,12842.9725378788,235303.9375,-44683.9375,37160.1484375,1328148,0.143523161575367,0.184148064749742
"Q3 2004",185954,-8.54616364450084,3.29079087377488,210800.416666667,-24846.4166666667,12842.9725378788,232868.96875,-46914.96875,37160.1484375,1351480,0.137592861159618,0.184148064749742
"Q4 2004",184621,-5.96345929536645,3.29079087377488,208047.333333333,-23426.3333333333,12842.9725378788,230327.6875,-45706.6875,37160.1484375,1367080,0.135047692892881,0.184148064749742
"Q1 2005",185608,-5.83340943451747,3.29079087377488,205673.25,-20065.25,12842.9725378788,227768.625,-42160.625,37160.1484375,1380324,0.134466980216239,0.184148064749742
"Q2 2005",187200,-1.79414542020774,3.29079087377488,203728.5,-16528.5,12842.9725378788,225469.8125,-38269.8125,37160.1484375,1399608,0.133751736200422,0.184148064749742
"Q3 2005",177970,-4.29353496025899,3.29079087377488,199870.75,-21900.75,12842.9725378788,222710.5625,-44740.5625,37160.1484375,1436992,0.123848984545495,0.184148064749742
"Q4 2005",176644,-4.32074357738285,3.29079087377488,194946.166666667,-18302.1666666667,12842.9725378788,220065.5,-43421.5,37160.1484375,1469436,0.120212108591323,0.184148064749742
"Q1 2006",178142,-4.02245592862377,3.29079087377488,190829.333333333,-12687.3333333333,12842.9725378788,217481.375,-39339.375,37160.1484375,1476000,0.120692411924119,0.184148064749742
"Q2 2006",172313,-7.95245726495726,3.29079087377488,186319.833333333,-14006.8333333333,12842.9725378788,214597.03125,-42284.03125,37160.1484375,1490716,0.115590763096391,0.184148064749742
"Q3 2006",172279,-3.19772995448671,3.29079087377488,183732.166666667,-11453.1666666667,12842.9725378788,211848,-39569,37160.1484375,1504936,0.114475964426394,0.184148064749742
"Q4 2006",182076,3.07511152374267,3.29079087377488,182544.416666667,-468.416666666657,12842.9725378788,209124.21875,-27048.21875,37160.1484375,1514764,0.120200902582845,0.184148064749742
"Q1 2007",177390,-0.422135150610187,3.29079087377488,180901.416666667,-3511.41666666666,12842.9725378788,206693.84375,-29303.84375,37160.1484375,1547276,0.114646643520613,0.184148064749742
"Q2 2007",160364,-6.9344738934381,3.29079087377488,178380.083333333,-18016.0833333333,12842.9725378788,204152.5625,-43788.5625,37160.1484375,1576612,0.101714308910499,0.184148064749742
"Q3 2007",155760,-9.58851630204494,3.29079087377488,175863.916666667,-20103.9166666667,12842.9725378788,201459.5,-45699.5,37160.1484375,1582248,0.0984422163908566,0.184148064749742
"Q4 2007",154700,-15.0354796897999,3.29079087377488,173370.5,-18670.5,12842.9725378788,198667.15625,-43967.15625,37160.1484375,1604508,0.0964158483472815,0.184148064749742
"Q1 2008",165362,-6.78054005299059,3.29079087377488,171683.333333333,-6321.33333333334,12842.9725378788,196605.375,-31243.375,37160.1484375,1637296,0.100997009703804,0.184148064749742
"Q2 2008",168341,4.97430844828016,3.29079087377488,170111.75,-1770.75,12842.9725378788,194683.875,-26342.875,37160.1484375,1677448,0.100355420853582,0.184148064749742
"Q3 2008",167887,7.7856959424756,3.29079087377488,169271.5,-1384.5,12842.9725378788,192983.46875,-25096.46875,37160.1484375,1694512,0.0990769023766134,0.184148064749742
"Q4 2008",188989,22.1648351648352,3.29079087377488,170300.25,18688.75,12842.9725378788,191971.40625,-2982.40625,37160.1484375,1618908,0.116738566984659,0.184148064749742
"Q1 2009",206263,24.7342194700112,3.29079087377488,172643.666666667,33619.3333333333,12842.9725378788,191346.25,14916.75,37160.1484375,1557232,0.132454894325316,0.184148064749742
"Q2 2009",215488,28.0068432526835,3.29079087377488,176241.583333333,39246.4166666667,12842.9725378788,191380.65625,24107.34375,37160.1484375,1548488,0.139160264722749,0.184148064749742
"Q3 2009",219276,30.6092788601857,3.29079087377488,180158,39118,12842.9725378788,191446.1875,27829.8125,37160.1484375,1567924,0.139851166255507,0.184148064749742
"Q4 2009",228649,20.9853483536079,3.29079087377488,184039.083333333,44609.9166666667,12842.9725378788,191789.65625,36859.34375,37160.1484375,1611692,0.141868917882573,0.184148064749742
"Q1 2010",236226,14.5265995355444,3.29079087377488,188942.083333333,47283.9166666667,12842.9725378788,192481.1875,43744.8125,37160.1484375,1644032,0.143686984194955,0.184148064749742
"Q2 2010",274182,27.2377116127116,3.29079087377488,198426.916666667,75755.0833333333,12842.9725378788,194470.09375,79711.90625,37160.1484375,1653240,0.165845249328591,0.184148064749742
"Q3 2010",292335,33.3182838067094,3.29079087377488,209808.166666667,82526.8333333333,12842.9725378788,196597.34375,95737.65625,37160.1484375,1665372,0.175537357419243,0.184148064749742
"Q4 2010",290032,26.845951655157,3.29079087377488,221085.833333333,68946.1666666667,12842.9725378788,198294,91738,37160.1484375,1701548,0.170451847376624,0.184148064749742
"Q1 2011",292684,23.899994073472,3.29079087377488,231696,60988,12842.9725378788,200329.625,92354.375,37160.1484375,1737952,0.168407412862956,0.184148064749742
"Q2 2011",308478,12.5084797689126,3.29079087377488,243374.083333333,65103.9166666667,12842.9725378788,202893.71875,105584.28125,37160.1484375,1759852,0.175286330896007,0.184148064749742
"Q3 2011",344005,17.674927737014,3.29079087377488,258050.583333333,85954.4166666667,12842.9725378788,207289.78125,136715.21875,37160.1484375,1785748,0.192639162972603,0.184148064749742
"Q4 2011",358904,23.7463452308711,3.29079087377488,272210.166666667,86693.8333333333,12842.9725378788,212370.25,146533.75,37160.1484375,1812700,0.197994152369394,0.184148064749742
