"Period","Inward FPI - Equity","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward FPI - Equity to GDP","Mean_of_Ratio"
"Q3 2006",369601,14.2453982041018,11.5930592704085,295153.333333333,74447.6666666667,41193.3333333333,228999.40625,140601.59375,102682.268821023,1504936,0.245592503601482,0.231919039581427
"Q4 2006",403312,23.3211636425902,11.5930592704085,310203.666666667,93108.3333333333,41193.3333333333,237161.46875,166150.53125,102682.268821023,1514764,0.266254017127421,0.231919039581427
"Q1 2007",416503,14.574043458048,11.5930592704085,325517.166666667,90985.8333333333,41193.3333333333,245609.28125,170893.71875,102682.268821023,1547276,0.269184683275641,0.231919039581427
"Q2 2007",444418,22.7745255940262,11.5930592704085,342019.25,102398.75,41193.3333333333,254351.15625,190066.84375,102682.268821023,1576612,0.281881655093327,0.231919039581427
"Q3 2007",447572,21.0959927056474,11.5930592704085,358370.833333333,89201.1666666667,41193.3333333333,263016.40625,184555.59375,102682.268821023,1582248,0.282870953226043,0.231919039581427
"Q4 2007",413106,2.42839290673226,11.5930592704085,370138.666666667,42967.3333333333,41193.3333333333,269375.03125,143730.96875,102682.268821023,1604508,0.257465839995812,0.231919039581427
"Q1 2008",399152,-4.16587635623273,11.5930592704085,379708.083333333,19443.9166666667,41193.3333333333,273972.53125,125179.46875,102682.268821023,1637296,0.243787317626135,0.231919039581427
"Q2 2008",435204,-2.07327335976491,11.5930592704085,392077.25,43126.75,41193.3333333333,278924.65625,156279.34375,102682.268821023,1677448,0.259444107954464,0.231919039581427
"Q3 2008",343792,-23.1873307534877,11.5930592704085,393767,-49975,41193.3333333333,280757.9375,63034.0625,102682.268821023,1694512,0.202885550530182,0.231919039581427
"Q4 2008",256151,-37.9938805052456,11.5930592704085,387859.416666667,-131708.416666667,41193.3333333333,281621.3125,-25470.3125,102682.268821023,1618908,0.158224556305856,0.231919039581427
"Q1 2009",252840,-36.6557101054235,11.5930592704085,378635.833333333,-125795.833333333,41193.3333333333,283392.8125,-30552.8125,102682.268821023,1557232,0.162365016901785,0.231919039581427
"Q2 2009",308772,-29.0512035734966,11.5930592704085,374201.916666667,-65429.9166666667,41193.3333333333,286932.0625,21839.9375,102682.268821023,1548488,0.199402255619675,0.231919039581427
"Q3 2009",355508,3.40787452878485,11.5930592704085,373027.5,-17519.5,41193.3333333333,292957.9375,62550.0625,102682.268821023,1567924,0.226738030669854,0.231919039581427
"Q4 2009",370123,44.4940679521064,11.5930592704085,370261.75,-138.75,41193.3333333333,298886.96875,71236.03125,102682.268821023,1611692,0.229648717000519,0.231919039581427
"Q1 2010",383467,51.6638981173865,11.5930592704085,367508.75,15958.25,41193.3333333333,305210.96875,78256.03125,102682.268821023,1644032,0.233247892985051,0.231919039581427
"Q2 2010",372439,20.6194214501315,11.5930592704085,361510.5,10928.5,41193.3333333333,311521.125,60917.875,102682.268821023,1653240,0.225278241513634,0.231919039581427
"Q3 2010",414909,16.7087660474588,11.5930592704085,358788.583333333,56120.4166666667,41193.3333333333,319972.3125,94936.6875,102682.268821023,1665372,0.249138931121695,0.231919039581427
"Q4 2010",462771,25.0316786581758,11.5930592704085,362927.333333333,99843.6666666667,41193.3333333333,329527.53125,133243.46875,102682.268821023,1701548,0.271970582081728,0.231919039581427
"Q1 2011",492383,28.4029655746127,11.5930592704085,370696.583333333,121686.416666667,41193.3333333333,340115.84375,152267.15625,102682.268821023,1737952,0.283312197344921,0.231919039581427
"Q2 2011",461992,24.0450113978396,11.5930592704085,372928.916666667,89063.0833333333,41193.3333333333,349080.90625,112911.09375,102682.268821023,1759852,0.262517529883195,0.231919039581427
"Q3 2011",403522,-2.7444572183298,11.5930592704085,377906.416666667,25615.5833333333,41193.3333333333,355618,47904,102682.268821023,1785748,0.225968053723146,0.231919039581427
"Q4 2011",416814,-9.93082971923478,11.5930592704085,391295,25519,41193.3333333333,361683.8125,55130.1875,102682.268821023,1812700,0.229940972030672,0.231919039581427
"Q1 2012",432721,-12.1169902291509,11.5930592704085,406285.083333333,26435.9166666667,41193.3333333333,367933.1875,64787.8125,102682.268821023,1815120,0.238398012252633,0.231919039581427
"Q2 2012",406589,-11.9921989991169,11.5930592704085,414436.5,-7847.5,41193.3333333333,372939.3125,33649.6875,102682.268821023,1818984,0.223525330624129,0.231919039581427
"Q3 2012",440545,9.17496443812233,11.5930592704085,421522.916666667,19022.0833333333,41193.3333333333,378851.5625,61693.4375,102682.268821023,1830636,0.240651336475411,0.231919039581427
"Q4 2012",439840,5.52428661225391,11.5930592704085,427332.666666667,12507.3333333333,41193.3333333333,384099.9375,55740.0625,102682.268821023,1844064,0.238516667534316,0.231919039581427
"Q1 2013",430829,-0.437233228801006,11.5930592704085,431279.5,-450.5,41193.3333333333,388678.375,42150.625,102682.268821023,1876844,0.229549712176398,0.231919039581427
"Q2 2013",405641,-0.233159283699264,11.5930592704085,434046.333333333,-28405.3333333333,41193.3333333333,392392.96875,13248.03125,102682.268821023,1886592,0.215012572935749,0.231919039581427
"Q3 2013",428432,-2.74954885426006,11.5930592704085,435173.25,-6741.25,41193.3333333333,395671.625,32760.375,102682.268821023,1912428,0.224025165914743,0.231919039581427
"Q4 2013",460015,4.58689523463077,11.5930592704085,434943.583333333,25071.4166666667,41193.3333333333,399827.03125,60187.96875,102682.268821023,1933124,0.237964558921207,0.231919039581427
"Q1 2014",492275,14.2622711098835,11.5930592704085,434934.583333333,57340.4166666667,41193.3333333333,403850.53125,88424.46875,102682.268821023,1963452,0.250719141593479,0.231919039581427
"Q2 2014",530362,30.7466454327842,11.5930592704085,440632.083333333,89729.9166666667,41193.3333333333,409112.5,121249.5,102682.268821023,1988404,0.266727485963617,0.231919039581427
"Q3 2014",536435,25.2089012958883,11.5930592704085,451708.166666667,84726.8333333333,41193.3333333333,414326.0625,122108.9375,102682.268821023,2013792,0.266380539797556,0.231919039581427
"Q4 2014",521911,13.4552134169538,11.5930592704085,460466.25,61444.75,41193.3333333333,418032.28125,103878.71875,102682.268821023,2013944,0.259148715157919,0.231919039581427
"Q1 2015",572295,16.2551419430197,11.5930592704085,472097.416666667,100197.583333333,41193.3333333333,422900.78125,149394.21875,102682.268821023,1984300,0.288411530514539,0.231919039581427
"Q2 2015",563728,6.29117470708686,11.5930592704085,485192.333333333,78535.6666666667,41193.3333333333,426629.21875,137098.78125,102682.268821023,1984920,0.28400540072144,0.231919039581427
"Q3 2015",505527,-5.76174186993764,11.5930592704085,490607.5,14919.5,41193.3333333333,428440.3125,77086.6875,102682.268821023,2000864,0.252654353319366,0.231919039581427
