"Period","Inward FPI","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward FPI to GDP","Mean_of_Ratio"
"Q4 2006",862111,12.8999772133797,7.06840061475162,758933.416666667,103177.583333333,110232.699810606,689549.65625,172561.34375,279124.223011364,1514764,0.569138822945357,0.685749619958473
"Q1 2007",874667,9.74863640298981,7.06840061475162,773420.333333333,101246.666666667,110232.699810606,697789.65625,176877.34375,279124.223011364,1547276,0.565294750257873,0.685749619958473
"Q2 2007",871712,11.33558717634,7.06840061475162,787112.083333333,84599.9166666666,110232.699810606,705980.875,165731.125,279124.223011364,1576612,0.552902045652323,0.685749619958473
"Q3 2007",864474,7.59270114963987,7.06840061475162,800137.75,64336.25,110232.699810606,713769,150705,279124.223011364,1582248,0.546358093042304,0.685749619958473
"Q4 2007",839292,-2.646874938378,7.06840061475162,809546.916666667,29745.0833333334,110232.699810606,719837.21875,119454.78125,279124.223011364,1604508,0.523083711642447,0.685749619958473
"Q1 2008",853982,-2.36490001337652,7.06840061475162,819239.166666667,34742.8333333334,110232.699810606,725270.875,128711.125,279124.223011364,1637296,0.521580703794549,0.685749619958473
"Q2 2008",903492,3.6456994970816,7.06840061475162,831803.583333333,71688.4166666666,110232.699810606,731590.375,171901.625,279124.223011364,1677448,0.538611032950053,0.685749619958473
"Q3 2008",815159,-5.70462500896499,7.06840061475162,835991.333333333,-20832.3333333334,110232.699810606,735028.46875,80130.53125,279124.223011364,1694512,0.481058263382024,0.685749619958473
"Q4 2008",773194,-7.87544740090457,7.06840061475162,836790.333333333,-63596.3333333334,110232.699810606,739004.46875,34189.53125,279124.223011364,1618908,0.477602186164995,0.685749619958473
"Q1 2009",787030,-7.83997789180568,7.06840061475162,835961.75,-48931.75,110232.699810606,743731.1875,43298.8125,279124.223011364,1557232,0.505403176919046,0.685749619958473
"Q2 2009",866305,-4.11591912269284,7.06840061475162,842907.25,23397.75,110232.699810606,751286.1875,115018.8125,279124.223011364,1548488,0.559452188199069,0.685749619958473
"Q3 2009",909418,11.563265571502,7.06840061475162,851736.333333333,57681.6666666666,110232.699810606,760642.75,148775.25,279124.223011364,1567924,0.580014082315214,0.685749619958473
"Q4 2009",940629,21.6549792160829,7.06840061475162,858279.5,82349.5,110232.699810606,769736.46875,170892.53125,279124.223011364,1611692,0.58362826147924,0.685749619958473
"Q1 2010",962681,22.3182089628095,7.06840061475162,865614,97067,110232.699810606,779470.75,183210.25,279124.223011364,1644032,0.585560986647462,0.685749619958473
"Q2 2010",1006057,16.1319627613831,7.06840061475162,876809.416666667,129247.583333333,110232.699810606,791099.78125,214957.21875,279124.223011364,1653240,0.608536570612857,0.685749619958473
"Q3 2010",1085574,19.3701906054202,7.06840061475162,895234.416666667,190339.583333333,110232.699810606,804938.125,280635.875,279124.223011364,1665372,0.651850757668557,0.685749619958473
