"Period","Fed Gov Interest-Bearing Debt","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Fed Gov Interest-Bearing Debt to GDP","Mean_of_Ratio"
"Q3 2015",995489,4.52227908334366,2.12157112832393,968209.333333333,27279.6666666666,21915.8551587302,875620.65625,119868.34375,66560.8746279762,2000864,0.497529567226958,0.497860412757959
"Q4 2015",1001829,5.2544819586979,2.12157112832393,969737.583333333,32091.4166666666,21915.8551587302,887681.1875,114147.8125,66560.8746279762,1991680,0.503007009158098,0.497860412757959
"Q1 2016",1010415,1.44484470253729,2.12157112832393,972312.416666667,38102.5833333334,21915.8551587302,899353.40625,111061.59375,66560.8746279762,1998420,0.505606929474285,0.497860412757959
"Q2 2016",1016683,4.13323787370856,2.12157112832393,976480.666666667,40202.3333333334,21915.8551587302,910475.78125,106207.21875,66560.8746279762,2002152,0.507795112458994,0.497860412757959
"Q3 2016",1023709,2.83478772743848,2.12157112832393,981270.25,42438.75,21915.8551587302,921724.21875,101984.78125,66560.8746279762,2035420,0.502947303259278,0.497860412757959
"Q4 2016",999871,-0.195442535602383,2.12157112832393,985663.75,14207.25,21915.8551587302,930429.78125,69441.21875,66560.8746279762,2066148,0.483929999206252,0.497860412757959
"Q1 2017",1001327,-0.899432411434905,2.12157112832393,990188.416666667,11138.5833333334,21915.8551587302,937288.5625,64038.4375,66560.8746279762,2107708,0.475078616203003,0.497860412757959
"Q2 2017",1010016,-0.65575995664332,2.12157112832393,994660.5,15355.5,21915.8551587302,944827.0625,65188.9375,66560.8746279762,2130892,0.473987419353022,0.497860412757959
"Q3 2017",988714,-3.41845192334931,2.12157112832393,997685.166666667,-8971.16666666663,21915.8551587302,950537.125,38176.875,66560.8746279762,2143864,0.461183172066885,0.497860412757959
"Q4 2017",997803,-0.206826680641803,2.12157112832393,1001517.41666667,-3714.41666666663,21915.8551587302,956168.375,41634.625,66560.8746279762,2181964,0.457295812396538,0.497860412757959
"Q1 2018",995695,-0.562453624040898,2.12157112832393,1001490,-5795,21915.8551587302,960920.59375,34774.40625,66560.8746279762,2202260,0.452124181522618,0.497860412757959
"Q2 2018",996381,-1.34997861420017,2.12157112832393,1003161,-6780,21915.8551587302,965946.90625,30434.09375,66560.8746279762,2219616,0.448897917477618,0.497860412757959
"Q3 2018",981830,-0.696257967420306,2.12157112832393,1002022.75,-20192.75,21915.8551587302,969749.46875,12080.53125,66560.8746279762,2244092,0.437517713177535,0.497860412757959
"Q4 2018",994096,-0.37151622113784,2.12157112832393,1001378.33333333,-7282.33333333337,21915.8551587302,973607.0625,20488.9375,66560.8746279762,2229456,0.44589173322999,0.497860412757959
"Q1 2019",1015470,1.98604994501328,2.12157112832393,1001799.58333333,13670.4166666666,21915.8551587302,977583.34375,37886.65625,66560.8746279762,2260360,0.449251446672212,0.497860412757959
"Q2 2019",1018392,2.20909471376913,2.12157112832393,1001942,16450,21915.8551587302,981452.15625,36939.84375,66560.8746279762,2305088,0.441801788044535,0.497860412757959
"Q3 2019",1028111,4.71374881598647,2.12157112832393,1002308.83333333,25802.1666666666,21915.8551587302,984949.40625,43161.59375,66560.8746279762,2312284,0.444630071392614,0.497860412757959
"Q4 2019",1028654,3.47632421818416,2.12157112832393,1004707.41666667,23946.5833333334,21915.8551587302,987808.75,40845.25,66560.8746279762,2337684,0.440031244599356,0.497860412757959
