"Period","Payments Cross-Border Financial Liabilities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Payments Cross-Border Financial Liabilities to GDP","Mean_of_Ratio"
"Q4 1989",10360,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,681232,NA,0.0138480630675787
"Q1 1990",10110,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,691928,NA,0.0138480630675787
"Q2 1990",10095,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,695624,NA,0.0138480630675787
"Q3 1990",10305,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,697684,NA,0.0138480630675787
"Q4 1990",10301,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,696768,NA,0.0138480630675787
"Q1 1991",9060,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,694008,NA,0.0138480630675787
"Q2 1991",8548,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,701572,NA,0.0138480630675787
"Q3 1991",9446,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,704796,NA,0.0138480630675787
"Q4 1991",8371,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,706716,NA,0.0138480630675787
"Q1 1992",9118,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,710008,NA,0.0138480630675787
"Q2 1992",9023,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,714744,NA,0.0138480630675787
"Q3 1992",8687,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,721660,NA,0.0138480630675787
"Q4 1992",8720,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,727332,NA,0.0138480630675787
"Q1 1993",9979,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,733952,NA,0.0138480630675787
"Q2 1993",10447,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,745360,NA,0.0138480630675787
"Q3 1993",10060,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,750068,NA,0.0138480630675787
"Q4 1993",10791,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,758768,NA,0.0138480630675787
"Q1 1994",10075,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,772656,NA,0.0138480630675787
"Q2 1994",12003,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,783660,NA,0.0138480630675787
"Q3 1994",12639,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,800784,NA,0.0138480630675787
"Q4 1994",13038,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,810788,NA,0.0138480630675787
"Q1 1995",13960,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,823972,NA,0.0138480630675787
"Q2 1995",15071,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,828856,NA,0.0138480630675787
"Q3 1995",14480,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,832976,NA,0.0138480630675787
"Q4 1995",14211,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,840680,NA,0.0138480630675787
"Q1 1996",13453,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,844208,NA,0.0138480630675787
"Q2 1996",13999,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,852904,NA,0.0138480630675787
"Q3 1996",14695,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,864544,NA,0.0138480630675787
"Q4 1996",14011,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,877680,NA,0.0138480630675787
"Q1 1997",15041,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,891748,NA,0.0138480630675787
"Q2 1997",15352,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,899412,NA,0.0138480630675787
"Q3 1997",16774,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,912564,NA,0.0138480630675787
"Q4 1997",15576,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,923980,NA,0.0138480630675787
"Q1 1998",15474,2.87879795226381,4.58713488731415,14844.75,629.25,1286.76799242424,11962.59375,3511.40625,3172.24822443182,934612,0.0165566031679456,0.0138480630675787
