"Period","Income Cross-Border Financial Asset","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Income Cross-Border Financial Asset to GDP","Mean_of_Ratio"
"Q4 1999",8837,6.50837652163433,8.79394507192908,8125.83333333333,711.166666666667,1711.61363636364,6218.125,2618.875,4051.07421875,1040988,0.00848905078636833,0.00982547485180916
"Q1 2000",8548,11.9287678407752,8.79394507192908,8201.16666666667,346.833333333334,1711.61363636364,6372.4375,2175.5625,4051.07421875,1070188,0.00798738165630712,0.00982547485180916
"Q2 2000",9164,16.3830327660655,8.79394507192908,8227.08333333333,936.916666666666,1711.61363636364,6546.09375,2617.90625,4051.07421875,1099448,0.0083350917915172,0.00982547485180916
"Q3 2000",9494,15.3304178814383,8.79394507192908,8351.33333333333,1142.66666666667,1711.61363636364,6737.5625,2756.4375,4051.07421875,1121768,0.00846342559245762,0.00982547485180916
"Q4 2000",9195,4.05114857983479,8.79394507192908,8381,814,1711.61363636364,6920.15625,2274.84375,4051.07421875,1132880,0.0081164818868724,0.00982547485180916
"Q1 2001",7773,-9.06644829199813,8.79394507192908,8351.5,-578.5,1711.61363636364,7050,723,4051.07421875,1149924,0.00675957715466413,0.00982547485180916
"Q2 2001",7879,-14.022261021388,8.79394507192908,8345.25,-466.25,1711.61363636364,7184.5,694.5,4051.07421875,1152860,0.00683430772166612,0.00982547485180916
"Q3 2001",5384,-43.2904992626922,8.79394507192908,8192.83333333333,-2808.83333333333,1711.61363636364,7251.625,-1867.625,4051.07421875,1138804,0.00472776702575685,0.00982547485180916
"Q4 2001",4456,-51.5388798259924,8.79394507192908,7872.75,-3416.75,1711.61363636364,7281.25,-2825.25,4051.07421875,1136584,0.00392051973281341,0.00982547485180916
"Q1 2002",6941,-10.7037179981989,8.79394507192908,7814.75,-873.75,1711.61363636364,7357.03125,-416.03125,4051.07421875,1158640,0.00599064420354899,0.00982547485180916
"Q2 2002",7000,-11.1562381012819,8.79394507192908,7741.91666666667,-741.916666666667,1711.61363636364,7423.5,-423.5,4051.07421875,1185892,0.00590272975953965,0.00982547485180916
"Q3 2002",7427,37.945765230312,8.79394507192908,7674.83333333333,-247.833333333333,1711.61363636364,7477.96875,-50.96875,4051.07421875,1204144,0.00616786696607715,0.00982547485180916
"Q4 2002",8336,87.0736086175943,8.79394507192908,7633.08333333333,702.916666666667,1711.61363636364,7546.65625,789.34375,4051.07421875,1226100,0.00679879292064269,0.00982547485180916
"Q1 2003",6219,-10.4019593718484,8.79394507192908,7439,-1220,1711.61363636364,7547.28125,-1328.28125,4051.07421875,1250088,0.00497484977057615,0.00982547485180916
"Q2 2003",6737,-3.75714285714286,8.79394507192908,7236.75,-499.75,1711.61363636364,7571.8125,-834.8125,4051.07421875,1237720,0.00544307274666322,0.00982547485180916
"Q3 2003",7648,2.97562946007809,8.79394507192908,7082.91666666667,565.083333333333,1711.61363636364,7596.90625,51.09375,4051.07421875,1258296,0.00607806112393268,0.00982547485180916
"Q4 2003",7881,-5.45825335892514,8.79394507192908,6973.41666666667,907.583333333333,1711.61363636364,7622.96875,258.03125,4051.07421875,1272884,0.00619145185264329,0.00982547485180916
"Q1 2004",8666,39.3471619231388,8.79394507192908,7047.83333333333,1618.16666666667,1711.61363636364,7697.65625,968.34375,4051.07421875,1296216,0.00668561412604072,0.00982547485180916
"Q2 2004",9298,38.0139527979813,8.79394507192908,7166.08333333333,2131.91666666667,1711.61363636364,7784.71875,1513.28125,4051.07421875,1328148,0.00700072582272458,0.00982547485180916
"Q3 2004",9327,21.9534518828452,8.79394507192908,7494.66666666667,1832.33333333333,1711.61363636364,7875.34375,1451.65625,4051.07421875,1351480,0.00690132299405097,0.00982547485180916
"Q4 2004",9985,26.6971196548661,8.79394507192908,7955.41666666667,2029.58333333333,1711.61363636364,7964.625,2020.375,4051.07421875,1367080,0.00730388858003921,0.00982547485180916
"Q1 2005",11119,28.3060235402723,8.79394507192908,8303.58333333333,2815.41666666667,1711.61363636364,8073.21875,3045.78125,4051.07421875,1380324,0.00805535511952266,0.00982547485180916
"Q2 2005",11797,26.8767476876748,8.79394507192908,8703.33333333333,3093.66666666667,1711.61363636364,8165.21875,3631.78125,4051.07421875,1399608,0.0084287886322456,0.00982547485180916
"Q3 2005",12283,31.6929344912619,8.79394507192908,9108,3175,1711.61363636364,8298.96875,3984.03125,4051.07421875,1436992,0.00854771634080078,0.00982547485180916
"Q4 2005",13051,30.7060590886329,8.79394507192908,9500.91666666667,3550.08333333333,1711.61363636364,8430.59375,4620.40625,4051.07421875,1469436,0.00888163894174364,0.00982547485180916
"Q1 2006",15530,39.6708337080673,8.79394507192908,10276.8333333333,5253.16666666667,1711.61363636364,8661.9375,6868.0625,4051.07421875,1476000,0.0105216802168022,0.00982547485180916
"Q2 2006",15804,33.9662626091379,8.79394507192908,11032.4166666667,4771.58333333333,1711.61363636364,8907.25,6896.75,4051.07421875,1490716,0.0106016169411209,0.00982547485180916
"Q3 2006",16752,36.3836196368965,8.79394507192908,11791.0833333333,4960.91666666667,1711.61363636364,9205.34375,7546.65625,4051.07421875,1504936,0.0111313703705673,0.00982547485180916
"Q4 2006",17457,33.7598651444334,8.79394507192908,12589.0833333333,4867.91666666667,1711.61363636364,9491.59375,7965.40625,4051.07421875,1514764,0.0115245675233898,0.00982547485180916
"Q1 2007",18544,19.407598197038,8.79394507192908,13412.25,5131.75,1711.61363636364,9832.4375,8711.5625,4051.07421875,1547276,0.0119849335218797,0.00982547485180916
"Q2 2007",18360,16.1731207289294,8.79394507192908,14167.4166666667,4192.58333333333,1711.61363636364,10160.125,8199.875,4051.07421875,1576612,0.0116452240627371,0.00982547485180916
"Q3 2007",19323,15.3474212034384,8.79394507192908,15000.4166666667,4322.58333333333,1711.61363636364,10506.71875,8816.28125,4051.07421875,1582248,0.0122123712591199,0.00982547485180916
"Q4 2007",19961,14.3438162341754,8.79394507192908,15831.75,4129.25,1711.61363636364,10854.34375,9106.65625,4051.07421875,1604508,0.0124405736836463,0.00982547485180916
"Q1 2008",18912,1.98446937014668,8.79394507192908,16481.1666666667,2430.83333333333,1711.61363636364,11178.21875,7733.78125,4051.07421875,1637296,0.0115507519715433,0.00982547485180916
"Q2 2008",18615,1.38888888888889,8.79394507192908,17049.3333333333,1565.66666666667,1711.61363636364,11473.5625,7141.4375,4051.07421875,1677448,0.0110972143398782,0.00982547485180916
"Q3 2008",16638,-13.8953578636858,8.79394507192908,17412.25,-774.25,1711.61363636364,11696.8125,4941.1875,4051.07421875,1694512,0.00981875607844618,0.00982547485180916
"Q4 2008",14233,-28.6959571163769,8.79394507192908,17510.75,-3277.75,1711.61363636364,11854.25,2378.75,4051.07421875,1618908,0.00879172874554947,0.00982547485180916
"Q1 2009",13837,-26.8348138747885,8.79394507192908,17369.6666666667,-3532.66666666667,1711.61363636364,12043.75,1793.25,4051.07421875,1557232,0.00888563810658913,0.00982547485180916
"Q2 2009",14477,-22.2293849046468,8.79394507192908,17259.0833333333,-2782.08333333333,1711.61363636364,12249.9375,2227.0625,4051.07421875,1548488,0.00934911991568549,0.00982547485180916
"Q3 2009",13231,-20.4772208198101,8.79394507192908,16965.6666666667,-3734.66666666667,1711.61363636364,12495.15625,735.84375,4051.07421875,1567924,0.00843854676629735,0.00982547485180916
"Q4 2009",13359,-6.14065903182744,8.79394507192908,16624.1666666667,-3265.16666666667,1711.61363636364,12773.375,585.625,4051.07421875,1611692,0.00828880456067288,0.00982547485180916
"Q1 2010",14711,6.31639806316398,8.79394507192908,16304.75,-1593.75,1711.61363636364,13016.1875,1694.8125,4051.07421875,1644032,0.00894812266427904,0.00982547485180916
"Q2 2010",14746,1.85811977619673,8.79394507192908,16003.5833333333,-1257.58333333333,1711.61363636364,13258.25,1487.75,4051.07421875,1653240,0.00891945513053156,0.00982547485180916
"Q3 2010",14761,11.5637517950268,8.79394507192908,15623.4166666667,-862.416666666666,1711.61363636364,13487.4375,1273.5625,4051.07421875,1665372,0.00886348515526861,0.00982547485180916
"Q4 2010",17419,30.3914963694887,8.79394507192908,15411.5833333333,2007.41666666667,1711.61363636364,13771.28125,3647.71875,4051.07421875,1701548,0.0102371487610106,0.00982547485180916
"Q1 2011",16499,12.1541703487186,8.79394507192908,15210.5,1288.5,1711.61363636364,14092.53125,2406.46875,4051.07421875,1737952,0.00949335769917696,0.00982547485180916
"Q2 2011",17140,16.2349111623491,8.79394507192908,15087.5833333333,2052.41666666667,1711.61363636364,14417.625,2722.375,4051.07421875,1759852,0.00973945536329191,0.00982547485180916
"Q3 2011",17673,19.727660727593,8.79394507192908,15173.8333333333,2499.16666666667,1711.61363636364,14730.90625,2942.09375,4051.07421875,1785748,0.00989669315043332,0.00982547485180916
"Q4 2011",16903,-2.96228256501521,8.79394507192908,15396.3333333333,1506.66666666667,1711.61363636364,15012.84375,1890.15625,4051.07421875,1812700,0.00932476416395432,0.00982547485180916
"Q1 2012",18176,10.1642523789321,8.79394507192908,15757.9166666667,2418.08333333333,1711.61363636364,15310.03125,2865.96875,4051.07421875,1815120,0.0100136630085063,0.00982547485180916
"Q2 2012",16530,-3.55892648774796,8.79394507192908,15929,601,1711.61363636364,15536.03125,993.96875,4051.07421875,1818984,0.00908749059914766,0.00982547485180916
"Q3 2012",18981,7.40112035308097,8.79394507192908,16408.1666666667,2572.83333333333,1711.61363636364,15837.71875,3143.28125,4051.07421875,1830636,0.0103685276592397,0.00982547485180916
"Q4 2012",18047,6.76802934390345,8.79394507192908,16798.8333333333,1248.16666666667,1711.61363636364,16089.65625,1957.34375,4051.07421875,1844064,0.00978653669286966,0.00982547485180916
"Q1 2013",17620,-3.05897887323944,8.79394507192908,17041.25,578.75,1711.61363636364,16292.8125,1327.1875,4051.07421875,1876844,0.00938810044947795,0.00982547485180916
"Q2 2013",17092,3.39987900786449,8.79394507192908,17236.75,-144.75,1711.61363636364,16458.28125,633.71875,4051.07421875,1886592,0.00905972250491892,0.00982547485180916
"Q3 2013",19534,2.91343975554502,8.79394507192908,17634.5,1899.5,1711.61363636364,16684.875,2849.125,4051.07421875,1912428,0.0102142407452725,0.00982547485180916
"Q4 2013",20158,11.6972349975065,8.79394507192908,17862.75,2295.25,1711.61363636364,16906.96875,3251.03125,4051.07421875,1933124,0.0104276807902649,0.00982547485180916
"Q1 2014",20975,19.0408626560726,8.79394507192908,18235.75,2739.25,1711.61363636364,17077.125,3897.875,4051.07421875,1963452,0.0106827159512939,0.00982547485180916
"Q2 2014",21921,28.2529838520945,8.79394507192908,18634.1666666667,3286.83333333333,1711.61363636364,17268.28125,4652.71875,4051.07421875,1988404,0.0110244195847524,0.00982547485180916
"Q3 2014",20328,4.06470768915737,8.79394507192908,18855.4166666667,1472.58333333333,1711.61363636364,17380.03125,2947.96875,4051.07421875,2013792,0.0100943890928159,0.00982547485180916
"Q4 2014",21326,5.7942256176208,8.79394507192908,19224,2102,1711.61363636364,17500.9375,3825.0625,4051.07421875,2013944,0.0105891722907886,0.00982547485180916
"Q1 2015",22467,7.11323003575685,8.79394507192908,19581.5833333333,2885.41666666667,1711.61363636364,17623.53125,4843.46875,4051.07421875,1984300,0.011322380688404,0.00982547485180916
"Q2 2015",22620,3.18872314219242,8.79394507192908,20089.0833333333,2530.91666666667,1711.61363636364,17756.65625,4863.34375,4051.07421875,1984920,0.0113959252765855,0.00982547485180916
